Authors,Link
"Akter S., Wamba S.F., Gunasekaran A., Dubey R., Childe S.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983595576&partnerID=40&md5=a72e9738d5c5b8381cf9ecfdae6e6051"
"Motta G., Puccinelli R., Reggiani L., Saccone M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975503840&partnerID=40&md5=7ee247913cc0ca90762111c202faa8b4"
"Wang H., Xu Z., Fujita H., Liu S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978904004&partnerID=40&md5=dcc7cbc94dc95d29f9fbf3c70a18771b"
"Yu C., Matta A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953231341&partnerID=40&md5=34e873f2a6d2ff198ad442a91ee4ff82"
"Loh C.S., Li I.-H., Sheng Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979871439&partnerID=40&md5=69256b435ab36274dd698c15f371508f"
"Jiang F., Rho S., Chen B.-W., Li K., Zhao D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910644036&partnerID=40&md5=dcf216cb9a2ac325cb05e6fb6c2f0bc4"
"Xu W., Shao L., Yao B., Zhou Z., Pham D.T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984662918&partnerID=40&md5=288934ddbd7d5435e40295dfe01a0f83"
"Garrigos-Simon F.J., Llorente R., Morant M., Narangajavana Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989270963&partnerID=40&md5=e100e14be5f8e944a209ee895a09b77a"
"Alemayehu D., Berger M.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960097469&partnerID=40&md5=8d553d45425f3f919fa6ed0a06d5c2fa"
"Krumeich J., Werth D., Loos P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978430438&partnerID=40&md5=dfec0602e5d257d8216082dabc08ac95"
"Yahaya J.H., Deraman A., Abai N.H.Z., Mansor Z., Jusoh Y.Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984950392&partnerID=40&md5=0eea20a32a0e6a3a53301092e8aabdaf"
"Bauer C., Siddiqui Z.-F., Beuttler M., Bauer K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978834538&partnerID=40&md5=88179c78491dfba32af514370b158c37"
"Klenner F., Lenze D., Schwarzer S., Deuse J., Friedrich T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978818252&partnerID=40&md5=48624495115d0f393d01bdd251f6bf36"
"Raman A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924311301&partnerID=40&md5=121d93d8bc1a5b58dbf9ae9665964514"
"De Oliveira M.P.V., Cavalcanti C.X., Ladeirac M.B., McCormack K.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979964877&partnerID=40&md5=f7d2660b13953c1394acee2121554546"
"Amaye A., Neville K., Pope A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976479423&partnerID=40&md5=ed718918c2eaa246a6f5215d82525f0f"
"Munro D.L., Madan M.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976515145&partnerID=40&md5=26f7af7ecbe102765b9f37f8ac8c7339"
"Sammon D., McNulty J., Sugrue A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976463666&partnerID=40&md5=49d106e18fd82eadbbc6e566b5b325f3"
"Frizzo-Barker J., Chow-White P.A., Mozafari M., Ha D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958158623&partnerID=40&md5=5765222c05fa809245f736b481583d8a"
"Richter A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973162108&partnerID=40&md5=1ba240fc5b9fc0640379024a2e082d5c"
"Brodsky A., Shao G., Riddick F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896553252&partnerID=40&md5=ea44e1b846b35294d4face0137484c79"
[No author name available],"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982972458&partnerID=40&md5=555482a6a510366fc7e2d0d0af995eb3"
"Simon M., Van Den Driest F., Wilms T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975062409&partnerID=40&md5=ae6d51dea33e7eeaf573b1b0cbfd64fd"
"Zhang J., Gao L., Qin W., Lyu Y., Li X.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974667629&partnerID=40&md5=65c284937f0413ceb3f2d83bddbe373e"
"Gangotra A., Shankar R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962645715&partnerID=40&md5=50dc0f2ce63093cec7fa20f074a37ecc"
"Eberle L., Sugiyama H., Papadokonstantakis S., Graser A., Schmidt R., Hungerbühler K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955611267&partnerID=40&md5=57594a56650c4154ab4d710112e22138"
"Höchtl J., Parycek P., Schöllhammer R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961241512&partnerID=40&md5=77053de3af35f85665eec4b7da8200da"
"Moore P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962815114&partnerID=40&md5=28b0f158055231f054d658c4bad1515f"
"Li X., Song J., Huang B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941359900&partnerID=40&md5=4af7fe5c45291338725fc29445287439"
"Dubey R., Gunasekaran A., Childe S.J., Wamba S.F., Papadopoulos T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941347880&partnerID=40&md5=34830d2cf831036bb9761f911e027b21"
"Zhong R.Y., Lan S., Xu C., Dai Q., Huang G.Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939421306&partnerID=40&md5=77c8d04d325a8a2932854d0d38923503"
"Liu Z., Wang Y., Cai L., Cheng Q., Zhang H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946782544&partnerID=40&md5=19fe32fb04c911b11c7c24f22d765459"
"Unoura H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964788995&partnerID=40&md5=558c9307926116c1473034391ffb0138"
"Chiba H., Kamuro S., Nomura Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964226625&partnerID=40&md5=8134d4b8ebbb6fa1e70d50c0bf3f5cc4"
"Bikku T., Sambasiva Rao N., Akepogu A.R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962826213&partnerID=40&md5=e29abcc68314aaf7a370dce11177a1fb"
"Tsuji S., Omori H., Samejima K., Yano K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962680386&partnerID=40&md5=b172f44773f2d37d511d9c57ed8b904b"
"Chee T.C., Baharudin A.S., Karkonasasi K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961744657&partnerID=40&md5=62a3eca61cc65b3d8fad9cf79a4763d0"
"Troilo M., Bouchet A., Urban T.L., Sutton W.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949091565&partnerID=40&md5=a987196b88f2912a4f9e3b19d0433aac"
"Hatch R.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959266485&partnerID=40&md5=4345df2c2d719226fed9cb267cd14ba9"
"Wagner S., Brandt T., Neumann D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949099396&partnerID=40&md5=fda041351999e1366eea123cedb0398d"
"Datnow A., Hubbard L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957433578&partnerID=40&md5=71fdf693813956038a3919df7ee2b47c"
"Massis B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953714550&partnerID=40&md5=9aefacab9f17a9caa61f6ae127ece976"
"Fulker D., Timur A., Dew K., Butler J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958173624&partnerID=40&md5=51e24244ba66fa414a0dc49792c8ed6a"
"Hartmann P.M., Zaki M., Feldmann N., Neely A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989261697&partnerID=40&md5=7a965b8c9529a2eec7b28d02a979746a"
"Ranjan S., Jha V.K., Pal P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989264354&partnerID=40&md5=cd7b1e4149e045c4fb81c2d15288106b"
"Liu P., Yi S.-P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973497156&partnerID=40&md5=d6174ca6cf6fd0d59d01cd19631388e9"
"Faller P., Hunt J., Van Hooydonk E., Mailloux Z., Schaaf R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957900857&partnerID=40&md5=01b8a95d1b2f85c05bddfbbca3c1328f"
"Faller P., Hunt J., van Hooydonk E., Mailloux Z., Schaaf R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976546307&partnerID=40&md5=0db0f6dd6753481edba0611389ee16a5"
"Li J.-L., Yan W.-W., Bai X.-H., Shao H.-H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959527409&partnerID=40&md5=4a7c51bb6c947312bd3aa4be52c50f43"
"Xu J., Sun K., Xu L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949220678&partnerID=40&md5=661f9ffcae42983f2b25914ad09f1146"
"Palanimalai S., Paramasivam I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964539511&partnerID=40&md5=c26920ab70b3c46bc5bd324be5749ff7"
"Kirubakaran A., Aramudhan M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976416932&partnerID=40&md5=1cb65a09a6451e8dbb6ba6df057e4844"
"Vera-Baquero A., Colomo-Palacios R., Molloy O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951084855&partnerID=40&md5=88d70840e41352e48b45e9007d61ea2c"
"Yang H.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962106128&partnerID=40&md5=4d53b3e3b81f6eba1f8b7820a5764b65"
"Chongwatpol J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988900369&partnerID=40&md5=85744a98c94a5ef96796270147405073"
"Kim H., Choi M., Jeon B., Kim H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958038419&partnerID=40&md5=a946d5172b30920e564ec690d15baf45"
