Title,Link	"Título ""OK"""					
How to improve firm performance using big data analytics capability and business strategy alignment?,	How to improve firm performance using big data analytics capability and business strategy alignment?					
Extracting value from grey literature: Processes and technologies for aggregating and analyzing the hidden “Big Data” treasure of organizations,	Extracting value from grey literature: Processes and technologies for aggregating and analyzing the hidden “Big Data” treasure of organizations					
Towards felicitous decision making: An overview on challenges and trends of Big Data,	Towards felicitous decision making: An overview on challenges and trends of Big Data					
A statistical framework of data-driven bottleneck identification in manufacturing systems,	A statistical framework of data-driven bottleneck identification in manufacturing systems					
Comparison of similarity measures to differentiate players' actions and decision-making profiles in serious games analytics,	Comparison of similarity measures to differentiate players' actions and decision-making profiles in serious games analytics					
Big data driven decision making and multi-prior models collaboration for media restoration,	Big data driven decision making and multi-prior models collaboration for media restoration					
Perception data-driven optimization of manufacturing equipment service scheduling in sustainable manufacturing,	Perception data-driven optimization of manufacturing equipment service scheduling in sustainable manufacturing					
Pervasive information gathering and data mining for efficient business administration,	Pervasive information gathering and data mining for efficient business administration					
Big Data: transforming drug development and health policy decision making,	Big Data: transforming drug development and health policy decision making					
Prescriptive Control of Business Processes: New Potentials Through Predictive Analytics of Big Data in the Process Manufacturing Industry,	Prescriptive Control of Business Processes: New Potentials Through Predictive Analytics of Big Data in the Process Manufacturing Industry					
Business intelligence and big data analytics for organizational performance management in public sector: The conceptual framework,	Business intelligence and big data analytics for organizational performance management in public sector: The conceptual framework					
Big Data in manufacturing systems engineering - Close up on a machine tool,	Big Data in manufacturing systems engineering - Close up on a machine tool					
Smart data analytics for identifying dynamic bottlenecks in flexible manufacturing systems [Smart Data Analytics zur Identifikation dynamischer Engpässe in Flexiblen Fertigungssystemen],	Smart data analytics for identifying dynamic bottlenecks in flexible manufacturing systems [Smart Data Analytics zur Identifikation dynamischer Engpässe in Flexiblen Fertigungssystemen]					
How Do Social Media, Mobility, Analytics and Cloud Computing Impact Nonprofit Organizations? A Pluralistic Study of Information and Communication Technologies in Indian Context,	How Do Social Media, Mobility, Analytics and Cloud Computing Impact Nonprofit Organizations? A Pluralistic Study of Information and Communication Technologies in Indian Context					
Leveraging process innovation with business analytics,	Leveraging process innovation with business analytics					
BigPromises: using organisational mindfulness to integrate big data in emergency management decision making,	BigPromises: using organisational mindfulness to integrate big data in emergency management decision making					
Is data mining of manufacturing data beyond first order analysis of value? A case study,	Is data mining of manufacturing data beyond first order analysis of value? A case study					
TASC²S: designing a data driven business process,	TASC²S: designing a data driven business process					
An empirical study of the rise of big data in business scholarship,	An empirical study of the rise of big data in business scholarship					
Data-driven manufacturing,	Data-driven manufacturing					
Process analytics formalism for decision guidance in sustainable manufacturing,	Process analytics formalism for decision guidance in sustainable manufacturing					
Clinical and Business Analytics: Delivering Real-Time, Predictive Intelligence,	Clinical and Business Analytics: Delivering Real-Time, Predictive Intelligence					
Driving customer-centric growth: A practical roadmap: The pivotal role of insights and analytics in the customer-centric organization,	Driving customer-centric growth: A practical roadmap: The pivotal role of insights and analytics in the customer-centric organization					
Big-data-driven operational analysis and decision-making methodology in intelligent workshop,	Big-data-driven operational analysis and decision-making methodology in intelligent workshop					
Strategies in managing risks in the adoption of business analytics practices: A case study of a telecom service provider,	Strategies in managing risks in the adoption of business analytics practices: A case study of a telecom service provider					
Data-driven tiered procedure for enhancing yield in drug product manufacturing,	Data-driven tiered procedure for enhancing yield in drug product manufacturing					
Big data in the policy cycle: Policy decision making in the digital era,	Big data in the policy cycle: Policy decision making in the digital era					
Big Data and structural organisation in major arts bodies: an evolving ethnographic method,	Big Data and structural organisation in major arts bodies: an evolving ethnographic method					
A scientific workflow management system architecture and its scheduling based on cloud service platform for manufacturing big data analytics,	A scientific workflow management system architecture and its scheduling based on cloud service platform for manufacturing big data analytics					
The impact of big data on world-class sustainable manufacturing,	The impact of big data on world-class sustainable manufacturing					
Visualization of RFID-enabled shopfloor logistics Big Data in Cloud Manufacturing,	Visualization of RFID-enabled shopfloor logistics Big Data in Cloud Manufacturing					
Design and manufacturing model of customized hydrostatic bearing system based on cloud and big data technology,	Design and manufacturing model of customized hydrostatic bearing system based on cloud and big data technology					
Business transformation of NTT Group - The use of IoT and big data-,	Business transformation of NTT Group - The use of IoT and big data-					
Full capture system and big data analysis: Connecting businesses and networks in IoT era,	Full capture system and big data analysis: Connecting businesses and networks in IoT era					
Hadoop based feature selection and decision making models on big data,	Hadoop based feature selection and decision making models on big data					
Use of human big data to help improve productivity in service businesses,	Use of human big data to help improve productivity in service businesses					
Data mining framework for test time optimization in industrial electronics manufacturing enterprise,	Data mining framework for test time optimization in industrial electronics manufacturing enterprise					
Perception, reality, and the adoption of business analytics: Evidence from North American professional sport organizations,	Perception, reality, and the adoption of business analytics: Evidence from North American professional sport organizations					
Party organizational strength and technological capacity: The adaptation of the state-level party organizations in the United States to voter outreach and data analytics in the Internet age,	Party organizational strength and technological capacity: The adaptation of the state-level party organizations in the United States to voter outreach and data analytics in the Internet age					
In free float: Developing Business Analytics support for carsharing providers,	In free float: Developing Business Analytics support for carsharing providers					
Teacher capacity for and beliefs about data-driven decision making: A literature review of international research,	Teacher capacity for and beliefs about data-driven decision making: A literature review of international research					
Data-driven decision-making in the library,	Data-driven decision-making in the library					
A Case Study of the Grey Oaks Community and Club: Creation of a High-Performance Culture Through the Innovative Use of a Data-Driven Business Plan,	A Case Study of the Grey Oaks Community and Club: Creation of a High-Performance Culture Through the Innovative Use of a Data-Driven Business Plan					
Capturing value from big data – a taxonomy of data-driven business models used by start-up firms,	Capturing value from big data – a taxonomy of data-driven business models used by start-up firms					
Antecedents and imperatives of integrating SCM and ERP in manufacturing organizations: A coneptual perspective with big data analytics,	Antecedents and imperatives of integrating SCM and ERP in manufacturing organizations: A coneptual perspective with big data analytics					
Investment Decision-Making and Coordination of Supply Chain: A New Research in the Big Data Era,	Investment Decision-Making and Coordination of Supply Chain: A New Research in the Big Data Era					
Application of data-driven decision making using ayres sensory integration® with a child with Autism,	Application of data-driven decision making using ayres sensory integration® with a child with Autism					
Application of Data-Driven Decision Making Using Ayres Sensory Integration(®) With a Child With Autism,	Application of Data-Driven Decision Making Using Ayres Sensory Integration(®) With a Child With Autism					
Multiple criteria decision-making model based on data driven and information gain ratio for drinking water quality evaluation,	Multiple criteria decision-making model based on data driven and information gain ratio for drinking water quality evaluation					
