id	author	citations	co-citation links
112	"afee, a."	6	235
118	"agard, b."	5	473
121	"agarwal, r."	6	337
140	"agrawal, r."	32	537
208	"akter, s."	6	316
279	"alles, m."	4	84
297	"alonso-betanzos, a."	3	260
449	"aral, s."	10	464
474	"ariyachandra, t."	23	885
491	"arnott, d."	6	193
590	"autor, d."	6	204
665	"bagozzi, r.p."	5	185
747	"bandura, a."	13	268
817	"barney, j."	9	365
818	"barney, j.b."	7	413
845	"barth, p."	8	257
851	"barton, d."	7	335
866	"basole, r.c."	9	278
910	"bean, r."	8	257
929	"becker, j."	7	230
990	"benbasat, i."	5	185
1004	"bengio, y."	4	218
1086	"berson, a."	9	128
1143	"bhatnagar, v."	10	124
1172	"bieker, j."	6	265
1188	"biller, s."	8	231
1310	"bohm, c."	4	156
1321	"bolon-canedo, v."	2	206
1394	"bose, r."	6	162
1432	"bouwman, h."	6	134
1452	"boyd, d."	7	260
1480	"braha, d."	20	609
1514	"breiman, l."	17	237
1582	"brown, b."	18	724
1602	"brown, s."	4	193
1648	"brynjolfsson, e."	35	1020
1687	"bughin, j."	17	739
1772	"buyya, r."	4	152
1777	"byers, a.h."	10	449
1924	"carson, d."	4	128
2024	"chae, b."	5	226
2094	"chang, p.-c."	4	311
2096	"chang, q."	11	230
2099	"chang, r.m."	3	204
2155	"chaudhuri, s."	7	185
2159	"chavez, e."	4	156
2173	"chen, c."	6	164
2181	"chen, d."	5	212
2184	"chen, e."	7	300
2190	"chen, h."	37	1226
2198	"chen, j."	13	236
2210	"chen, l."	9	186
2213	"chen, m."	8	206
2217	"chen, m.c."	3	313
2223	"chen, r."	5	181
2233	"chen, w."	6	153
2237	"chen, x."	7	189
2240	"chen, y."	15	347
2253	"chen, z."	6	153
2259	"cheng, j."	7	283
2269	"cheng, y."	19	1013
2298	"chiang, r."	6	250
2299	"chiang, r.h."	8	260
2300	"chiang, r.h.l."	13	521
2307	"chien, c."	17	299
2308	"chien, c.-f."	13	311
2309	"chien, c.f."	7	151
2313	"chin, w.w."	5	326
2350	"cho, v."	8	330
2374	"chopin, g."	4	214
2375	"choppin, j."	5	135
2383	"choudhary, a.k."	5	258
2428	"chui, m."	23	950
2530	"coburn, c.e."	6	245
2548	"coelho, p.s."	5	221
2554	"cohen, j."	4	180
2598	"colomo-palacios, r."	15	303
2678	"copland, m.a."	5	253
2706	"cosner, s."	5	246
2727	"court, d."	8	407
2766	"crawford, k."	5	189
2820	"cukier, k."	10	237
2953	"datnow, a."	23	739
2965	"davenport, t."	22	876
2966	"davenport, t.h."	76	2051
2989	"davis, f.d."	10	189
3004	"dayal, u."	13	294
3080	"dean, j."	5	157
3089	"debarger, a."	6	302
3125	"delen, d."	15	484
3150	"demirkan, h."	11	477
3182	"deris, m.m."	10	220
3236	"dhar, v."	9	467
