id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
2	lynn (1998)	"<table><tr><td>Authors:</td><td>lynn g.s.; akgün a.e.</td></tr><tr><td>Title:</td><td>innovation strategies under uncertainty: a contingency approach for new product development</td></tr><tr><td>Source:</td><td>emj - engineering management journal, 10(3), 11-17</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"		0.0789	0.1695	5	10	10	70	4.7612	1998	70	4.7612
6	farid (2005)	"<table><tr><td>Authors:</td><td>farid s.s.; washbrook j.; titchener-hooker n.j.</td></tr><tr><td>Title:</td><td>decision-support tool for assessing biomanufacturing strategies under uncertainty: stainless steel versus disposable equipment for clinical trial material preparation</td></tr><tr><td>Source:</td><td>biotechnology progress, 21(2), 486-497</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1021/bp049692b	-0.0511	0.5489	9	1	1	69	6.2912	2005	69	6.2912
22	leskinen (2006)	"<table><tr><td>Authors:</td><td>leskinen l.a.; leskinen p.; kurttila m.; kangas j.; kajanus m.</td></tr><tr><td>Title:</td><td>adapting modern strategic decision support tools in the participatory strategy process-a case study of a forest research station</td></tr><tr><td>Source:</td><td>forest policy and economics, 8(3), 267-278</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	http://dx.doi.org/10.1016/j.forpol.2004.06.007	0.8406	0.3621	1	12	14	42	4.916	2006	42	4.916
32	godet (2000)	"<table><tr><td>Authors:</td><td>godet m.</td></tr><tr><td>Title:</td><td>the art of scenarios and strategic planning: tools and pitfalls</td></tr><tr><td>Source:</td><td>technological forecasting and social change, 65(1), 3-22</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"		0.2244	0.2274	2	32	43	182	8.775	2000	182	8.775
36	glaister (1999)	"<table><tr><td>Authors:</td><td>glaister k.w.; falshaw j.r.</td></tr><tr><td>Title:</td><td>strategic planning: still going strong?</td></tr><tr><td>Source:</td><td>long range planning, 32(1), 107-116</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	http://dx.doi.org/10.1016/s0024-6301(98)00131-9	0.1082	0.152	6	24	37	68	5.7428	1999	68	5.7428
50	yurdakul (2004)	"<table><tr><td>Authors:</td><td>yurdakul m.</td></tr><tr><td>Title:</td><td>ahp as a strategic decision-making tool to justify machine tool selection</td></tr><tr><td>Source:</td><td>journal of materials processing technology, 146(3), 365-376</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	http://dx.doi.org/10.1016/j.jmatprotec.2003.11.026	1.0423	0.4295	1	4	4	114	11.5229	2004	114	11.5229
84	huang (2009)	"<table><tr><td>Authors:</td><td>huang h.-c.</td></tr><tr><td>Title:</td><td>designing a knowledge-based system for strategic planning: a balanced scorecard perspective</td></tr><tr><td>Source:</td><td>expert systems with applications, 36(1), 209-218</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	http://dx.doi.org/10.1016/j.eswa.2007.09.046	0.9822	0.4172	1	5	5	80	7.5131	2009	80	7.5131
223	berkhout (2002)	"<table><tr><td>Authors:</td><td>berkhout f.; hertin j.</td></tr><tr><td>Title:</td><td>foresight futures scenarios: developing and applying a participative strategic planning tool</td></tr><tr><td>Source:</td><td>greener management international, (37), 37-52</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		0.8336	0.3944	1	10	11	41	3.6236	2002	41	3.6236
237	mcbride (1997)	"<table><tr><td>Authors:</td><td>mcbride n.</td></tr><tr><td>Title:</td><td>business use of the internet: strategic decision or another bandwagon?</td></tr><tr><td>Source:</td><td>european management journal, 15(1), 58-67</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		-1.0671	0.2104	7	2	3	39	1.4558	1997	39	1.4558
432	holmberg (2000)	"<table><tr><td>Authors:</td><td>holmberg j.; robert k.-h.</td></tr><tr><td>Title:</td><td>backcasting — a framework for strategic planning</td></tr><tr><td>Source:</td><td>international journal of sustainable development and world ecology, 7(4), 291-308</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	http://dx.doi.org/10.1080/13504500009470049	0.994	0.4705	1	3	5	115	5.5446	2000	115	5.5446
