id	document	citations	total link strength
2	lynn (1998)	70	10
3	courtney (1997)	251	0
6	farid (2005)	69	1
13	wan (2008)	44	0
19	flores-alsina (2008)	69	0
22	leskinen (2006)	42	14
32	godet (2000)	182	43
36	glaister (1999)	68	37
50	yurdakul (2004)	114	4
84	huang (2009)	80	5
93	morel (2009)	54	0
133	terrados (2007)	79	0
223	berkhout (2002)	41	11
237	mcbride (1997)	39	3
249	arbel (1990)	41	0
311	robinson (1978)	47	0
312	sheate (2003)	78	0
413	voelker (2001)	46	0
432	holmberg (2000)	115	5
440	raisinghani (2005)	48	1
461	buckberg (2004)	82	0
576	simão (2009)	98	0
588	chang (1999)	39	0
602	wilson (1994)	61	0
614	cosier (1978)	90	0
616	bryson (1987)	59	56
627	löfström (2007)	43	4
635	birkin (1996)	117	0
661	bolaños (2005)	83	7
662	tanskanen (2000)	68	0
673	tapinos (2005)	49	17
781	priem (1992)	41	38
797	bonn (2005)	39	16
815	de benedetto (2009)	173	0
821	kabirian (2007)	44	1
839	gibbons (2005)	49	60
840	kardaras (1999)	68	3
853	efstathiades (2002)	41	6
861	gordon (2000)	74	0
970	brody (2003)	122	0
1007	parayitam (2007)	45	37
1028	boulton (1982)	57	0
1038	martin (2003)	40	8
1046	eppler (2009)	71	9
1095	mazzola (2008)	42	28
1096	craig (2005)	48	12
1106	miller (2005)	105	19
1145	wu (2007)	39	24
1156	dennis (1997)	39	38
1157	betts (1992)	100	27
1160	lyon (2000)	250	70
1162	hickson (2003)	45	72
1183	yasai-ardekani (1997)	40	51
1199	bryson (1988)	75	0
1272	hipel (2001)	46	3
1283	bowman (2001)	141	1
1301	mohdzain (2007)	40	33
1311	grant (2003)	289	77
1314	jones (2002)	61	0
1319	andersen (2000)	84	91
1322	bramwell (1997)	92	9
1353	judge jr. (1998)	274	65
1372	carr (1998)	44	26
1375	xu (2008)	45	13
1401	hugo (2005)	83	0
1404	farmar-bowers (2009)	53	4
1409	bryson (2009)	41	23
1449	warszawski (1996)	69	30
1459	crainic teodor gabriel (1990)	45	0
1495	andersen (2001)	83	56
1505	hough (2003)	83	60
1526	chen (2009)	124	9
1540	miller (1997)	41	59
1548	frombo (2009)	83	1
1589	christensen (2006)	40	0
1594	seaden (2003)	64	0
1595	sarkis (2003)	580	2
1598	papadakis (2002)	93	49
1603	ochoa (2008)	41	0
1606	miller (2004)	45	42
1629	brockmann (2002)	41	65
1640	schwenk (1995)	130	86
1642	rajagopalan (1993)	181	131
1650	busenitz (1997)	818	65
1679	wu (2007)	67	23
1680	siegler (1999)	52	0
1685	laine (2007)	93	31
1696	delany (2000)	63	16
1699	gill (2006)	84	0
1702	dyson (2004)	128	21
1712	mills (1995)	88	53
1718	chakravarthy (1992)	150	31
1722	whittington (2007)	105	35
1734	paiva (2008)	97	42
1744	van de ven (1992)	538	39
1745	marucheck (1990)	80	0
1826	hallstedt (2010)	58	7
2264	kara (2010)	42	0
2431	pindolia (2012)	40	0
2474	merigó (2010)	87	1
2559	chen (2011)	39	8
2606	wirtz (2010)	163	1
2636	richardson (2012)	65	1
