id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
4070	"amit, r., zott, c., value creation in e-business (2001) strategic management journal, 22 (6-7), pp. 493-520"	-0.3424	0.6387	5	12	17	4
4186	"andersen, t.j., strategic planning, autonomous actions and corporate performance (2000) long range planning, 33 (2), pp. 184-200"	-0.2974	0.144	1	16	17	4
4189	"andersen, t.j., strategic planning, autonomous actions and corporate performance (2000) long range planning, 33, pp. 184-200"	-0.1721	-0.0702	4	15	17	4
4500	"ansoff, h.i., (1965) corporate strategy, , mcgraw-hill, new york, ny"	-0.0937	-0.2977	1	7	7	5
4506	"ansoff, h.i., (1965) corporate strategy, , new york: mcgraw-hill"	0.5553	-0.4421	8	17	18	5
4519	"ansoff, h.i., (1965) corporate strategy: an analytical approach to business policy for growth and expansion, , new york: mcgraw-hill"	-1.1478	0.0133	9	10	12	4
4911	"armstrong, j.s., the value of formal planning for strategic decisions: review of empirical research (1982) strategic management journal, 3 (3), pp. 197-211"	-0.2689	0.8042	3	26	31	4
4913	"armstrong, j.s., the value of formal planning for strategic decisions: review of empirical research (1982) strategic management journal, 3, pp. 197-211"	0.3821	-0.0405	4	13	15	5
6015	"barney, j., firm resources and sustained competitive advantage (1991) journal of management, 17 (1), pp. 99-120"	-0.0711	-0.3753	6	9	11	4
6041	"barney, j.b., firm resources and sustained competitive advantage (1991) journal of management, 17 (1), pp. 99-120"	-0.3747	-0.066	1	36	43	12
6043	"barney, j.b., firm resources and sustained competitive advantage (1991) journal of management, 17, pp. 99-120"	-0.0328	-0.289	4	38	48	13
6409	"baum, j.r., wally, s., strategic decision speed and firm performance (2003) strategic management journal, 24, pp. 1107-1129"	0.6824	-0.3405	2	14	14	4
7290	"bettis, r.a., prahalad, c.k., the dominant logic: retrospective and extension (1995) strategic management journal, 16 (1), pp. 5-14"	0.3889	-0.1244	8	13	14	4
8356	"bourgeois, l.j., eisenhardt, k.m., strategic decision processes in high velocity environments: four cases in the microcomputer industry (1988) management science, 34 (7), pp. 816-835"	0.8166	0.2425	7	15	23	4
8519	"boyd, b.k., strategic planning and financial performance: a meta-analytic review (1991) journal of management studies, 28 (4), pp. 353-374"	-0.2372	0.2672	3	24	25	4
8891	"bresser, r.k., bishop, r.c., dysfunctional effects of formal planning: two theoretical explanations (1983) academy of management review, 8, pp. 588-599"	0.0017	-0.1605	4	9	10	5
8920	"brews, p.j., hunt, m.r., learning to plan and planning to learn: resolving the planning school/learning school debate (1999) strategic management journal, 20 (10), pp. 889-913"	0.0729	0.2866	2	24	32	6
