id	cited reference	citations	total link strength
4070	"amit, r., zott, c., value creation in e-business (2001) strategic management journal, 22 (6-7), pp. 493-520"	4	17
4186	"andersen, t.j., strategic planning, autonomous actions and corporate performance (2000) long range planning, 33 (2), pp. 184-200"	4	17
4189	"andersen, t.j., strategic planning, autonomous actions and corporate performance (2000) long range planning, 33, pp. 184-200"	4	17
4475	"ansoff, (1973) business strategy, , penguin, harmondsworth, uk"	6	0
4500	"ansoff, h.i., (1965) corporate strategy, , mcgraw-hill, new york, ny"	5	7
4506	"ansoff, h.i., (1965) corporate strategy, , new york: mcgraw-hill"	5	18
4519	"ansoff, h.i., (1965) corporate strategy: an analytical approach to business policy for growth and expansion, , new york: mcgraw-hill"	4	12
4911	"armstrong, j.s., the value of formal planning for strategic decisions: review of empirical research (1982) strategic management journal, 3 (3), pp. 197-211"	4	31
4913	"armstrong, j.s., the value of formal planning for strategic decisions: review of empirical research (1982) strategic management journal, 3, pp. 197-211"	5	15
6015	"barney, j., firm resources and sustained competitive advantage (1991) journal of management, 17 (1), pp. 99-120"	4	11
6041	"barney, j.b., firm resources and sustained competitive advantage (1991) journal of management, 17 (1), pp. 99-120"	12	43
6043	"barney, j.b., firm resources and sustained competitive advantage (1991) journal of management, 17, pp. 99-120"	13	48
6409	"baum, j.r., wally, s., strategic decision speed and firm performance (2003) strategic management journal, 24, pp. 1107-1129"	4	14
7290	"bettis, r.a., prahalad, c.k., the dominant logic: retrospective and extension (1995) strategic management journal, 16 (1), pp. 5-14"	4	14
8356	"bourgeois, l.j., eisenhardt, k.m., strategic decision processes in high velocity environments: four cases in the microcomputer industry (1988) management science, 34 (7), pp. 816-835"	4	23
8519	"boyd, b.k., strategic planning and financial performance: a meta-analytic review (1991) journal of management studies, 28 (4), pp. 353-374"	4	25
8891	"bresser, r.k., bishop, r.c., dysfunctional effects of formal planning: two theoretical explanations (1983) academy of management review, 8, pp. 588-599"	5	10
8920	"brews, p.j., hunt, m.r., learning to plan and planning to learn: resolving the planning school/learning school debate (1999) strategic management journal, 20 (10), pp. 889-913"	6	32
9492	"bryson, j.m., a strategic planning process for public and non-profit organizations (1988) long range planning, 21 (1), pp. 73-81"	4	4
9734	"burgelman, r.a., intraorganizational ecology of strategy making and organizational adaptation: theory and field research (1991) organization science, 2 (3), pp. 239-262"	4	22
9815	"burns, t., stalker, g.m., (1961) the management of innovation, , tavistock, london"	4	14
10445	"carlile, p.r., transferring, translating, and transforming: an integrative framework for managing knowledge across boundaries (2004) organization science, 15 (5), pp. 555-568"	4	21
10885	"chaffee, e.e., three models of strategy (1985) academy of management review, 10 (1), pp. 89-98"	4	13
11478	"chesbrough, h.w., appleyard, m.m., open innovation and strategy (2007) california management review, 50 (1), pp. 57-76"	5	29
11575	"child, j., organizational structure, environment and performance: the role of strategic choice (1972) sociology, 6, pp. 1-22"	8	16
11605	"ching, benne, general strategies for effecting changes in human systems (1969) the planning of change, pp. 32-59. , w.g. bennis, k.d. benne, r. ching, holt, rinehart & winston, new york"	4	28
12251	"cohen, m.d., march, j.g., olsen, j.p., a garbage can model of organizational choice (1972) administrative science quarterly, 17 (1), pp. 1-25"	6	16
