id	document	citations	total link strength
11	cucchiella (2016)	9	52
25	rohrbeck (2015)	8	62
32	saunders (2015)	9	93
47	abbassi (2014)	18	58
60	köseoglu (2013)	11	136
62	mithas (2013)	41	105
66	parnell (2013)	7	129
71	fryd (2012)	10	33
75	nixon (2012)	17	158
76	isomursu (2012)	7	36
80	schuckmann (2012)	9	68
81	simangunsong (2012)	65	55
82	mithas (2012)	129	63
88	liesch (2011)	39	98
93	winch (2011)	10	66
94	engau (2011)	22	213
95	engau (2011)	17	152
101	moingeon (2010)	20	120
104	von der gracht (2010)	69	73
105	turner (2010)	19	77
106	carbonara (2010)	14	173
111	dominguez (2009)	24	74
113	brathwaite (2009)	14	59
114	engau (2009)	33	193
116	palma (2009)	24	58
118	liu (2009)	9	83
120	prabhakar (2009)	31	53
121	wiechmann (2008)	40	20
125	williams (2008)	25	78
128	kim (2008)	11	52
129	king (2008)	77	97
130	walker (2008)	21	71
131	schoemaker (2008)	10	40
132	heikkinen (2008)	16	60
141	zack (2007)	53	85
142	yahaya (2007)	16	56
143	behera (2007)	32	24
144	forbes (2007)	54	96
145	djulbegovic (2007)	35	4
146	labarthe (2007)	81	12
148	white (2007)	20	85
149	wu (2007)	17	118
151	bouchard (2006)	7	64
156	ezz (2006)	7	52
157	wiltbank (2006)	148	180
158	jarzabkowski (2006)	67	166
159	hutzschenreuter (2006)	121	195
161	boyland (2006)	30	54
162	mazzola (2006)	19	26
163	drew (2006)	45	77
164	tan (2006)	11	57
165	liesch (2006)	7	70
166	o'regan (2006)	37	131
167	ondersteijn (2006)	14	133
168	hackney (2006)	14	31
173	meijer (2006)	27	120
175	park (2005)	7	16
177	al-laham (2005)	28	91
178	kim (2005)	7	53
179	prater (2005)	27	68
180	leung (2005)	25	54
181	peter (2005)	30	55
182	ford (2005)	55	48
183	boehlje (2005)	7	70
184	boyland (2005)	11	55
185	liotta (2005)	16	0
186	voelpel (2005)	36	77
189	ahn (2005)	15	55
193	alessandri (2004)	51	77
196	doh (2004)	19	143
197	karimi (2004)	84	119
199	yang (2004)	90	121
200	parnell (2004)	8	76
202	sahay (2004)	21	23
203	mcgrath (2004)	134	77
204	noy (2003)	7	101
208	king (2003)	62	48
210	graham (2003)	16	31
211	morgan (2003)	137	124
212	noy (2003)	10	118
215	bratvold (2002)	14	27
218	chan (2002)	18	115
219	mcburney (2002)	24	22
220	melewar (2002)	11	23
221	kretschmer (2001)	31	41
222	szulanski (2001)	26	44
223	huffman (2001)	9	27
224	mikkola (2001)	115	19
225	dickson (2001)	64	74
226	johnston (2001)	11	23
227	hatfield (2001)	20	120
229	geng (2001)	14	56
230	mols (2000)	55	21
232	chae (2000)	8	84
233	berger (2000)	82	22
234	pearson (2000)	29	75
237	cooper (2000)	90	91
238	van doren (1999)	9	28
239	kretschmer (1999)	37	83
242	jägle (1999)	46	27
243	joshi (1999)	200	89
244	innes (1999)	51	61
245	mols (1999)	33	71
246	souba (1999)	12	39
248	mols (1998)	14	70
249	kretschmer (1998)	20	83
250	swinton (1998)	83	0
251	emery (1998)	7	21
