id	document	citations	total link strength
1	dew (2009)	135	228
2	brinckmann (2010)	130	293
3	fischer (2011)	119	247
4	read (2009)	117	227
5	chandler (2011)	94	259
6	read (2009)	88	367
7	alvarez (2010)	81	463
8	wiltbank (2009)	79	149
9	figueira-de-lemos (2011)	56	196
10	pandza (2009)	52	246
11	brettel (2012)	51	325
12	sarasvathy (2008)	47	4
13	perry (2012)	44	304
14	musiolik (2012)	44	227
15	spring (2013)	39	153
16	johanson (2011)	39	178
17	hughes (2010)	37	123
18	pandza (2010)	36	183
19	sarasvathy (2008)	36	255
20	evers (2011)	35	313
21	dew (2008)	33	312
22	vecchiato (2012)	31	317
23	kester (2009)	30	108
24	dew (2007)	30	175
25	collins (2010)	27	180
26	berends (2014)	25	304
27	obloj (2010)	25	219
28	sarasvathy (2014)	22	346
29	eddleston (2013)	22	171
30	murnieks (2011)	21	184
31	midler (2008)	20	109
32	brun (2008)	18	156
33	mayer-haug (2013)	17	344
34	money (2012)	16	111
35	chiles (2008)	16	3
36	alvarez (2015)	15	278
37	nemkova (2012)	15	209
38	starkey (2007)	14	81
39	klingebiel (2013)	13	183
40	gabrielsson (2011)	13	288
41	o'keefe (2010)	13	88
42	dibrell (2014)	12	196
43	miller (2010)	12	151
44	worthington (2009)	12	185
45	dew (2008)	12	239
46	maine (2015)	11	290
47	sarasvathy (2013)	11	304
48	derbyshire (2014)	10	159
49	pandza (2011)	10	204
50	behrens (2014)	9	255
51	vecchiato (2012)	9	260
52	lord (2015)	8	104
53	javalgi (2012)	8	220
54	mele (2014)	7	204
55	paslawski (2013)	6	82
56	yang (2013)	6	330
57	audretsch (2014)	5	251
58	paslawski (2011)	5	82
59	silberzahn (2008)	5	243
60	reymen (2015)	4	375
61	brinckmann (2015)	4	191
62	sitoh (2014)	4	214
63	engel (2014)	4	222
64	vecchiato (2012)	4	301
65	johansson (2012)	4	231
66	chandra (2011)	4	335
67	obrecht (2011)	4	208
68	storbacka (2016)	3	101
69	davidsson (2016)	3	180
70	welter (2016)	3	421
71	hmieleski (2015)	3	346
72	daniel (2015)	3	253
73	galkina (2015)	3	352
74	vecchiato (2015)	3	264
75	welter (2015)	3	302
76	reyes (2015)	3	206
77	gruber (2015)	3	286
78	morris (2012)	3	1005
79	reid (2011)	3	132
80	kuechle (2016)	2	284
81	vecchiato (2015)	2	317
82	darkow (2015)	2	168
83	werhahn (2015)	2	282
84	tiberius (2011)	2	112
85	germain (2010)	2	67
