Link,Abstract
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521","Probabilistic Risk Assessment (PRA) has proven to be an invaluable tool for evaluating risks in complex engineered systems. However, there is increasing concern that PRA may not be adequate in situations with little underlying knowledge to support probabilistic representation of uncertainties. As analysts and policy makers turn their attention to deeply uncertain hazards such as climate change, a number of alternatives to traditional PRA have been proposed. This paper systematically compares three diverse approaches for risk analysis under deep uncertainty (qualitative uncertainty factors, probability bounds, and robust decision making) in terms of their representation of uncertain quantities, analytical output, and implications for risk management. A simple example problem is used to highlight differences in the way that each method relates to the traditional risk assessment process and fundamental issues associated with risk assessment and description. We find that the implications for decision making are not necessarily consistent between approaches, and that differences in the representation of uncertain quantities and analytical output suggest contexts in which each method may be most appropriate. Finally, each methodology demonstrates how risk assessment can inform decision making in deeply uncertain contexts, informing more effective responses to risk problems characterized by deep uncertainty. © 2016 Elsevier Ltd"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578","Ontology-based activity recognition is gaining interest due to its expressiveness and comprehensive reasoning mechanism. An obstacle to its wider use is that the imperfect observations result in failure of recognizing activities. This paper proposes a novel reasoning algorithm for activity recognition in smart environments. The algorithm integrates OWL ontological reasoning mechanism with Dempster–Shafer theory of evidence to provide support for handling uncertainty in activity recognition. It quantifies uncertainty while aggregating contextual information and provides a degree of belief that facilitates more robust decision making in activity recognition. The presented approach has been implemented and evaluated on an internal and public datasets and compared with a data-driven approach that is using hidden Markov model. Results have shown that the proposed reasoning approach can accommodate uncertainties and subsequently infer the activities more accurately in comparison with existing ontology-based recognition and perform comparably well to the data-driven approach. © 2016 Elsevier B.V."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7","A variety of model-based approaches for supporting decision-making under deep uncertainty have been suggested, but they are rarely compared and contrasted. In this paper, we compare Robust Decision-Making with Dynamic Adaptive Policy Pathways. We apply both to a hypothetical case inspired by a river reach in the Rhine Delta of the Netherlands, and compare them with respect to the required tooling, the resulting decision relevant insights, and the resulting plans. The results indicate that the two approaches are complementary. Robust Decision-Making offers insights into conditions under which problems occur, and makes trade-offs transparent. The Dynamic Adaptive Policy Pathways approach emphasizes dynamic adaptation over time, and thus offers a natural way for handling the vulnerabilities identified through Robust Decision-Making. The application also makes clear that the analytical process of Robust Decision-Making is path-dependent and open ended: an analyst has to make many choices, for which Robust Decision-Making offers no direct guidance. © 2016 The Authors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8","Each actor evaluating potential management strategies brings her/his own distinct set of objectives to a complex decision space of system uncertainties. The diversity of these objectives and uncertainties requires detailed and rigorous analyses that respond to multifaceted challenges. The utility of this information depends on the accessibility of scientific information to decision makers. This paper demonstrates data visualization tools for presenting scientific results to decision makers in two case studies, La Paz/El Alto, Bolivia, and Yuba County, California. Visualization output from the case studies combines spatiotemporal, multivariate and multirun/multiscenario information to produce information corresponding to the objectives and uncertainties described by key actors. These tools can manage complex data and distill scientific information into accessible formats. Using the visualizations, scientists and decision makers can navigate the decision space and potential objective trade-offs to facilitate discussion and consensus building. These efforts can help identify stable negotiated agreements between different stakeholders. © 2016"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f","Automated planning and reinforcement learning are characterized by complementary views on decision making: the former relies on previous knowledge and computation, while the latter on interaction with the world, and experience. Planning allows robots to carry out different tasks in the same domain, without the need to acquire knowledge about each one of them, but relies strongly on the accuracy of the model. Reinforcement learning, on the other hand, does not require previous knowledge, and allows robots to robustly adapt to the environment, but often necessitates an infeasible amount of experience. We present Domain Approximation for Reinforcement LearnING (DARLING), a method that takes advantage of planning to constrain the behavior of the agent to reasonable choices, and of reinforcement learning to adapt to the environment, and increase the reliability of the decision making process. We demonstrate the effectiveness of the proposed method on a service robot, carrying out a variety of tasks in an office building. We find that when the robot makes decisions by planning alone on a given model it often fails, and when it makes decisions by reinforcement learning alone it often cannot complete its tasks in a reasonable amount of time. When employing DARLING, even when seeded with the same model that was used for planning alone, however, the robot can quickly learn a behavior to carry out all the tasks, improves over time, and adapts to the environment as it changes. © 2016 Elsevier B.V."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b","Uncertainty Quantification (UQ) employing a Monte Carlo Sampling (MCS) method in a building simulation domain has been widely used to account for risks of predicted outputs for robust decision making. However, the stochastic approach for UQ problems requires significant computational burdens compared to the deterministic approach. This paper addresses two surrogate models (Gaussian Process Emulator (GPE) and Polynomial Chaos Expansion (PCE)) which together can be regarded as a meta-model of a Building Performance Simulation (BPS) tool with a high-fidelity model. In the paper, the developed GPE and PCE with different model structures were compared in terms of a prediction capability under different amount of training data and number of inputs. The aim of the comparative study is to identify the relative prediction abilities and model flexibility of GPE and PCE. It was found that the GPE and PCE produce high performance qualities having fast computation speed compared to the developed basis model if new inputs having identical inputs and probability ranges were used. In terms of two-sample Kolmogorov-Smirnov (K-S) hypothesis test, mean values of the minimum p-values of the GPE and PCE were 0.999 and 0.569, respectively, if the number of samplings are over 30 cases. Otherwise, the PCE shows significantly reduced performance quality than the GPE. © 2016"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2","Grade Engineering® spans a range of operational techniques that exploits intrinsic grade variability to remove low grade uneconomic material prior to energy intensive and inefficient grinding. Grade Engineering provides an additional level of operational flexibility while also incurring complexity that needs to be managed for an effective operational deployment. An integrated value driven methodology has been developed to manage this complexity by means of stochastic optimisation. This allows the optimum Grade Engineering processing “recipe” to be determined that maximises value per unit of time that can be drawn from a production volume under a set of user defined constraints. The introduction of uncertainty in the stochastic optimisation problem enables the assessment of the risk and operating robustness, both essential in robust decision-making processes. The case study discussed in the paper comprises a large open cut copper porphyry deposit for which two Grade Engineering strategies are assessed: differential blasting for grade, and preferential grade by size response. These size-based coarse separation levers are subsequently exploited through a Grade Engineering circuit. This comprises a set of screens and crushers, with a configuration and operating settings defined by the Grade Engineering recipe. The methodology developed demonstrated that size-based Grade engineering is a robust operating option that can effectively deliver significant improvements in unit metal productivity. © 2016 Elsevier Ltd"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9","Expansion of today’s underwater scenarios and missions necessitates the requisition for robust decision making of the autonomous underwater vehicle (AUV); hence, design an efficient decision-making framework is essential for maximizing the mission productivity in a restricted time. This paper focuses on developing a deliberative conflict-free-task assignment architecture encompassing a global route planner (GRP) and a local path planner (LPP) to provide consistent motion planning encountering both environmental dynamic changes and a priori knowledge of the terrain, so that the AUV is reactively guided to the target of interest in the context of an uncertain underwater environment. The architecture involves three main modules: The GRP module at the top level deals with the task priority assignment, mission time management, and determination of a feasible route between start and destination point in a large-scale environment. The LPP module at the lower level deals with safety considerations and generates collision-free optimal trajectory between each specific pair of waypoints listed in obtained global route. Re-planning module tends to promote robustness and reactive ability of the AUV with respect to the environmental changes. The experimental results for different simulated missions demonstrate the inherent robustness and drastic efficiency of the proposed scheme in enhancement of the vehicles autonomy in terms of mission productivity, mission time management, and vehicle safety. © 2016 Springer-Verlag Berlin Heidelberg"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce","In the face of deeply uncertain climate change projections, robust decision frameworks are becoming a popular tool for incorporating climate change uncertainty into water infrastructure planning. These methodologies have the potential to be particularly valuable in developing countries where extensive infrastructure development is still needed and uncertainties can be large. However, many applications of these methodologies have relied on a sophisticated process of climate model downscaling and impact modeling that may be unreliable in data-scarce contexts. In this study, we demonstrate a modified application of the robust decision making (RDM) methodology that is specifically tailored for application in data-scarce situations. This modification includes a novel method for generating transient climate change sequences that account for potential variable dependence but do not rely on detailed GCM projections, and an emphasis on identifying the relative importance of data limitations and uncertainty within an integrated modeling framework. We demonstrate this methodology in the Lake Tana basin in Ethiopia, showing how the approach can highlight the vulnerability of alternative plans across different time scales and identify priorities for research and model refinement. We find that infrastructure performance is particularly sensitive to uncertainty in streamflow model accuracy, irrigation efficiency, and evaporation rates, suggesting that additional research in these areas could provide valuable insights for long-term infrastructure planning. This work demonstrates how tailored application of robust decision frameworks using simple modeling approaches can provide decision support in data-scarce regions where more complex modeling and analysis may be impractical. © 2016 Springer Science+Business Media Dordrecht"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e","This article presents an exploratory modelling approach that illustrates how overall transition pathways can emerge from a limited number of underlying change patterns. Pathways describe the temporal development of transitions, they are trajectories of change that carry societal systems such as health care, energy supply or water management into qualitatively different states. Under any given input scenario, a very large number of different pathways may result due to uncertainties such as those related to human agency. Though the pathways all differ in detail, clusters of pathways share enough qualitative similarities to allow identification of a small number of ideal types: many roads to Rome. The input scenario influences how often the various types of futures emerge, not what types emerge. The article explores this using a series of hypothetical cases and compares the results with ideal-typical pathways from the literature. A historical case is simulated for illustration. © 2016 Elsevier Ltd"
