Link,Affiliations
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521","Virginia Tech, Department of Biological Systems Engineering, Blacksburg, VA, United States; University of Stavanger, Centre for Risk Management and Societal Safety, Stavanger, Norway; University of Michigan, Department of Industrial and Operations Engineering, Ann Arbor, MI, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578","The University of Auckland, Auckland, New Zealand; Faculty of Electrical Engineering, Universiti Teknologi MARA, Penang, Malaysia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7","Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, Netherlands; Deltares, P.O. Box 177, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8","Stockholm Environment Institute, Davis, CA, United States; Stockholm Environment Institute, Somerville, MA, United States; Ministry of Environment and Water (MMAyA), Bolivia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f","Department of Computer Science, The University of Texas at Austin, 2317 Speedway, Stop D9500, Austin, TX, United States; Department of Computer, Control and Management Engineering, Sapienza University of Rome, Via Ariosto 25, Rome, Italy; School of Computing, University of Leeds, Leeds, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b","Division of Architecture and Civil Engineering, College of Engineering, Sunmoon University, Kalsan-ri, Tangjeong-myeon, Asan-si, Chungnam, South Korea"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2","Co-operative Research Centre for Optimising Resource Extraction (CRCORE), Brisbane, Australia; Julius Kruttschnitt Mineral Research Centre (JKMRC), The University of Queensland, Brisbane, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9","School of Computer Science, Engineering and Mathematics, Flinders University, Adelaide, SA, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce","Department of Biological Systems Engineering, Virginia Tech, 155 Ag Quad Lane, Blacksburg, VA, United States; Department of Industrial and Operations Engineering, University of Michigan, 1205 Beal Avenue, Ann Arbor, MI, United States; Department of Earth and Planetary Sciences, Johns Hopkins University, 3400 N. Charles Street, Baltimore, MD, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e","Monash Water for Liveability Centre and Faculty of Arts, School of Social Sciences, Monash University, Australia; Cooperative Research Centre for Water Sensitive Cities, Australia; Monash Water for Liveability Centre and Faculty of Engineering, Department of Civil Engineering, Monash University, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994759269&partnerID=40&md5=14c5c164ac7e35f7db185dc16c78e442","College of Mechatronics and Automation, National University of Defense Technology, Changsha, Hunan, China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986880428&partnerID=40&md5=b83ca3f0823788083a0ae4921da30bf7","Policy Analysis Section, Multi Actor Systems Department, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, BX, Netherlands; The Hague Centre for Strategic Studies, Lange Voorhout 16, The Hague, EE, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994474392&partnerID=40&md5=1b0db52b0a87d1cbb71026b1a592a896","Dept. of Civil and Environmental Engineering, Univ. of California, Davis, CA, United States; Dept. of Environmental Sciences and Engineering, Univ. of North Carolina, Chapel Hill, NC, United States; School of Civil and Environmental Engineering, Cornell Univ., Ithaca, NY, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394264&partnerID=40&md5=a05924dada4918d240c774a3d2b54fea","Delft University of Technology, Faculty of Technology, Policy and Management, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085712&partnerID=40&md5=d3e424c2afa328a6cc6c5f7706253af8","Stockholm Environment Institute, Linnégatan 87D, Stockholm, Sweden; Rand Corporation, 1776 Main St., Santa Monica, CA, United States; Royal Institute of Technology KTH, Department of Philosophy and History, Brinellvägen 32, Stockholm, Sweden; University of Waterloo, Department of Knowledge Integration, 200 University Ave. W, Waterloo, ON, Canada"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948067&partnerID=40&md5=6b9a3167f83f8b794b8803963df2ffef","Geography, Maynooth University, Maynooth, Co. Kildare, Ireland; School of Natural Sciences and Psychology, Liverpool John Moores University, Liverpool, United Kingdom; Geography, University of Loughborough, Loughborough, United Kingdom; Georgia Institute of Technology, Atlanta, GA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988723564&partnerID=40&md5=51a965218f49bcaaeea51e396f9895e7","University of Queensland, Australia; Johns Hopkins University, United States; World Bank, United States; Royal Institute of Technology of Sweden, Cambridge University's Energy Policy Research Group, Sweden"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988514062&partnerID=40&md5=b0b6fe3253beb5a1dd6120c083c86e46","Potsdam Institute for Climate Impact Research (PIK), P.O. Box 60 12 03, Potsdam, Germany; Technische Universität Berlin, Economics of Climate Change, Straße des 17, Juni 145, Berlin, Germany; Mercator Research Institute on Global Commons and Climate Change (MCC), Torgauer Str. 12–15, Berlin, Germany"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951777028&partnerID=40&md5=58165820f1b77b275c931bd2d92afff0","School of Software, Shanghai Jiao Tong University, Shanghai, China; Faculty of Engineering and Computing, Coventry University, Coventry, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978252830&partnerID=40&md5=4b72d65f2e9db5a8dc6192fa7da7ce68","University of California, Department of Geography, United States; Utrecht University, Department of Environmental Sciences, Netherlands; University of Texas, Department of Civil, Architectural and Environmental Engineering, Austin, United States; University of California, Department of Environmental Science, Policy and Management, United States; University of KwaZulu-Natal, School of Mathematical Sciences, South Africa; Louisiana State University, Department of Oceanography and Coastal Sciences, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991094139&partnerID=40&md5=76fce25f7c6d2726fc90d4490dbb27ff","State Key Laboratory of Water Resources and Hydropower Engineering Science, Hubei Collaborative Innovation Center for Water Resources Security, Wuhan University, Wuhan, China; Bureau of Hydrology, Changjiang Water Resources Commission, Wuhan, China"
