Link,Abstract
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992533328&doi=10.5465%2famr.2014.0172&partnerID=40&md5=709e3ae1064a7df9c3410fec661a3d8f","Despite the proliferation of strategy process and practice research, we lack understanding of the historical embeddedness of strategic processes and practices. In this article we present three historical approaches with the potential to remedy this deficiency. First, realist history can contribute to a better understanding of the historical embeddedness of strategic processes, and comparative historical analysis in particular can explicate the historical conditions, mechanisms, and causality in strategic processes. Second, interpretive history can add to our knowledge of the historical embeddedness of strategic practices, and microhistory can specifically help us understand the construction and enactment of these practices in historical contexts. Third, poststructuralist history can elucidate the historical embeddedness of strategic discourses, and genealogy in particular can increase our understanding of the evolution and transformation of strategic discourses and their power effects. Thus, this article demonstrates how, in their specific ways, historical approaches and methods can add to our understanding of different forms and variations of strategic processes and practices, the historical construction of organizational strategies, and historically constituted strategic agency. © 2016 Academy of Management Review."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975524013&doi=10.1080%2f15567249.2015.1126661&partnerID=40&md5=99096871fb7d9035088256d86f945cfd","The increase in demand for energy worldwide and its environmental impacts lead countries to more strategic energy policies. There are no risk-free energy sources in terms of security of supply or environmental impacts. However, more efficient methods are more environmentalist or eco-friendly systems. In parallel with the recent high rates of economic growth in Turkey, the annual increase in consumption growth rate reached an average of 5.59% in the last 11 years. Between 2004 and 2014, electricity consumption increased from 150 billion kWh – 1.70 times – to 255.5 billion kWh. Among the electrical energy installed capacity of Turkey, production obtained from hydraulic sources was 35%, natural gas 30.1%, coal 20.5%, and geothermal + wind + solar sources 6.4%. The share of other sources was 8%. In 2014, with 250.4 billion kWh electric generation, Turkey was ranked 19th globally. It’s global share was 1.1%. Turkey’s energy sector, which has been based upon on three fundamental pillars (natural gas, coal, and hydraulic) so far, is now being reorganized as a five-pillared structure, including renewable energy sources and nuclear energy. This study discusses the energy overview and new strategic developments to demonstrate Turkey’s recent energy policies on the international arena. © 2016 Taylor & Francis Group, LLC."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994591699&doi=10.1108%2fMD-06-2015-0237&partnerID=40&md5=70c6c4aafa133c535f737b80dba52b68","Purpose: Studies of multi-sector collaborations have increased in recent years. However, the topic is still complex and lacks synthesis. Toward that end, the purpose of this paper is to investigate how collaboration is addressed in the public administration and nonprofit sector journals, and applies well-established strategic decision-making theories to shed light on possible research directions that would provide rigor to the field of collaboration. Design/methodology/approach: The authors conduct a literature review of the top nonprofit and public administration journals, believing these most likely to contain articles on the topic of multi-sector collaboration. Findings: The authors identify a number of themes, including need for clarity, temporality, call to collaborate, funding, partnering issues and processes, benefits of collaboration across three different collaborative types. Originality/value: The authors embed well-known strategic decision-making theories into the themes emergent from this review and offer suggestions as to how future researchers may test strategic decision-making processes within multi-sector collaborations. © 2016, © Emerald Group Publishing Limited."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015932956&doi=10.2106%2fJBJS.15.01299&partnerID=40&md5=11e97456344cdca4cbd9da66a5e854b1","Orthopaedic conditions incur more than 52 million disability-adjusted life years annually worldwide. This burden disproportionately affects low and middle-income countries, which are least equipped to provide orthopaedic care. We aimed to assess orthopaedic capacity in Ghana, describe spatial access to orthopaedic care, and identify hospitals that would most improve access to care if their capacity was improved. Methods: Seventeen perioperative and orthopaedic trauma care-related items were selected from the World Health Organization's Guidelines for Essential Trauma Care. Direct inspection and structured interviews with hospital staff were used to assess resource availability and factors contributing to deficiencies at 40 purposively sampled facilities. Costdistance analyses described population-level spatial access to orthopaedic trauma care. Facilities for targeted capability improvement were identified through location-allocation modeling. Results: Orthopaedic trauma care assessment demonstrated marked deficiencies. Some deficient resources were low cost (e.g., spinal immobilization, closed reduction capabilities, and prosthetics for amputees). Resource nonavailability resulted from several contributing factors (e.g., absence of equipment, technology breakage, lack of training). Implants were commonly prohibitively expensive. Building basic orthopaedic care capacity at 15 hospitals without such capacity would improve spatial access to basic care from 74.9% to 83.0% of the population (uncertainty interval [UI] of 81.2% to 83.6%), providing access for an additional 2,169,714 Ghanaians. Conclusions: The availability of several low-cost resources could be better supplied by improvements in organization and training for orthopaedic trauma care. There is a critical need to advocate and provide funding for orthopaedic resources. These initiatives might be particularly effective if aimed at hospitals that could provide care to a large proportion of the population. © 2016 BY THE JOURNAL OF BONE AND JOINT SURGERY, INCORPORATED."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925776943&doi=10.2478%2fnispa-2014-0004&partnerID=40&md5=f99419bd76f8c1d3f1fa1a07abf76d5b","This paper strives to discuss the role played by the newly created metropolitan areas around the seven growth poles from the perspective of the cooperation between the urban centers on the one hand and the neighboring rural communities on the other. It looks at the governance mechanisms in place at the level of the metropolitan areas and tries to assess if the cities and the neighboring communities are equal partners in these cooperation schemes. The paper also looks at one of the most important functions of these metropolitan areas - strategic planning in the form of drafting the integrated plans for urban development (IPUDs). We look at this function also from the perspective of the relations between the cities and their hinterlands. The paper has the following structure: section two briefly examines the concept of growth poles and their creation in Romania; section three looks at strategic planning as a tool for the implementation of the growth pole policy; section four presents the methodology of the study; section five details the main findings of the research, while section six briefly presents the recommendations and the conclusions. The empirical research for the study consisted in interviews with public servants working for the communities that are part of the metropolitan areas formed around the growth poles. As for the conclusions, the authors wish to emphasize that metropolitan areas should be understood in the broader context of the territorial reform. © NISPAcee 2015."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908433207&doi=10.1016%2fj.rser.2014.10.031&partnerID=40&md5=19765ea5f05fc4a1ffe475d553e26945","The evidence of relationships between climate change induced by greenhouse gases of anthropogenic origin, and energy-economic issues (inappropriate use of fossil fuels and technologies, uncertainty in fuels price and demand trends, etc.) asks for the adoption of a holistic approach in order to re-orient the anthropogenic activities' system towards a configuration that harmonizes environmental protection, economic growth and security of energy supply. In this framework, energy system sustainability represents one of the major challenge the EU is facing and its implementation passes through a path of coordinate actions carried out by local governments in which objectives of sustainable development become integral part of strategic programming. The aim of this research is to provide local administrations with an analytical support tool to guide key strategic decisions in energy and climate planning on the medium-long term, assessing the possible role of local energy systems in the achievement of sustainable objectives at national/European scale. This paper focuses on the implementation of a partial equilibrium TIMES-generated model in a real case study, the regional energy system of Basilicata region (Southern Italy). First, it describes the adopted methodology. Second, it is provided a step-by-step description and characterisation of the reference energy system and the model's data input which represents the first step for an in-depth knowledge of the present energy system on which to build effective and sustainable local energy and climate plans. © 2014 Elsevier Ltd."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943356024&doi=10.1016%2fj.ejrs.2015.04.001&partnerID=40&md5=08ae5ccec95d5b1acf98a1b47a9c745b","This study focuses on suggesting short term corrective measures for improving water supply to Shimla city which is the state capital of Himachal Pradesh in India. The city is getting water supply from seven sources located in three watersheds, namely, Nauti, Ashwani and Giri watershed. Nauti and Ashwani watersheds have fully been tapped but Giri watershed is partly tapped. Presently, only 20 MLD (million litres per day) of water is being drawn from Giri River which is about 37% of the present water demand. Resource assessment in Giri watershed was accomplished using Remote Sensing Techniques and GIS based Arc-SWAT Hydrological Model. Study has established that average annual precipitation in the Giri watershed for 26 years (1984-2010) is about 1011.44 mm, out of which about 32% flows as runoff, 12% as groundwater and about 56% as evapotranspiration. The monthly inflow varies from 0.37 to 18.93 m3/s and 75% annual dependable discharge is 2.80 m3/s at the existing Headworks. Being ungauged watershed there are no statistical data for validation of results. However considering Water Balance Equation as the validation criteria, coefficient of correlation ""R"" between observed Rainfall and simulated Runoff was found to be 0.94 which validates the output. Results were further validated through actual measurement of inflow in lean period, which surprisingly has shown very good correlation (R = 0.95) between simulated and observed stream flow. Model output further reveals that the excess inflow can be utilized to fulfill additional water demand of 42.61 MLD (2031) for Shimla city by creating storage of about 1.12 MCM (million cubic metres). Copyright © 2015 National Authority for Remote Sensing and Space Sciences."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896966883&doi=10.1310%2fhpj4903-295&partnerID=40&md5=ec71faf3e3864eb745c11378f67e579d","In 2013, the Director's Forum published our assessment of issues facing pharmacy leaders to assist pharmacy directors in planning for the year ahead. The issues include health care reform and the Affordable Care Act, the American Society of Health-System Pharmacists Pharmacy Practice Model Initiative, the health care workforce, patients' perceptions of pharmacists, and the changing landscape of pharmacy education. Based on our environmental scan, the issues addressed in 2013 are pertinent to a department's plan for 2014. The goal of this article is to provide practical approaches to each of these issues to help pharmacy directors focus their department's goals for 2014 to support the development of patient-centered pharmacy services. This column will address (1) strategies to reduce medication costs and generate new pharmacy revenue streams, (2) innovative approaches to improving medication safety and quality, (3) steps to advance the clinical practice model, and (4) ways to create mutually beneficial student experiences. © 2014 Thomas Land Publishers, Inc."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914664644&doi=10.1017%2fS0266462314000269&partnerID=40&md5=0333f9f71a43a285ba01a75b10c24700","Objectives: To date, IT strategic planning has been mostly theory-based with limited information on best practices in this area. This study presents the process and outcomes of IT strategic planning undertaken at a pediatric hospital (PH) in Canada. Methods: A five-stage sequential and incremental process was adopted. Various tools / approaches were used including review of existing documentation, internal survey (n = 111), fifteen interviews, and twelve workshops. Results: IT strategic planning was informed by 230 individuals (12 percent of hospital community) and revealed consistency in the themes and concerns raised by participants (e.g., slow IT projects delivery rate, lack of understanding of IT priorities, strained communication with IT staff). Mobile and remote access to patients' information, and an integrated EMR were identified as top priorities. The methodology and used approach revealed effective, improved internal relationships, and ensured commitment to the final IT strategic plan. Several lessons were learned including: maintaining a dynamic approach capable of adapting to the fast technology evolution; involving stakeholders and ensuring continuous communication; using effective research tools to support strategic planning; and grounding the process and final product in existing models. Conclusions: This study contributes to the development of best practices in IT strategic planning, and illustrates how to apply the theoretical principles in this area. This is especially important as IT leaders are encouraged to integrate evidence-based management into their decision making and practices. The methodology and lessons learned may inform practitioners in other hospitals planning to engage in IT strategic planning in the future. © Cambridge University Press 2014."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907585578&doi=10.5209%2frev_POSO.2014.v51.n2.42385&partnerID=40&md5=7052a51b83f306702b2a7ec43dacf09c","This paper aims to propose a theoretical framework for designing a Local Cultural Indicators System by considering the one provided by UNESCO for Cultural Statistics and the Agenda 21 for Culture. The indicators system is structured, depending on the objectives, requirements and users of cultural indicators involved, in Basic and Strategic Systems that may be used for monitoring and evaluating the local governments' cultural policy. © 2014, Universidad Complutense de Madrid. All rights reserved."
