Source title,Link
Academy of Management Review,
Energy Sources, Part B: Economics, Planning and Policy,
Management Decision,
Journal of Bone and Joint Surgery - American Volume,
NISPAcee Journal of Public Administration and Policy,
Renewable and Sustainable Energy Reviews,
Egyptian Journal of Remote Sensing and Space Science,
Hospital Pharmacy,
International Journal of Technology Assessment in Health Care,
Politica y Sociedad,
Strategic Direction,
Town Planning Review,
Transactions of the American Clinical and Climatological Association,
Progress in Energy and Combustion Science,
Fuzzy Economic Review,
CFI Ceramic Forum International,
American Review of Canadian Studies,
Water Practice and Technology,
Malaria Journal,
Journal of Prevention and Intervention in the Community,
Journal fur Betriebswirtschaft,
Revista de Administracao Publica,
Singapore Management Review,
Water Resources Management,
Strategic Direction,
African Journal of Agricultural Research,
International Journal of Operations and Production Management,
European Journal of Development Research,
Environmental Practice,
Nursing Clinics of North America,
Strategic Direction,
Agroalimentaria,
California Management Review,
Clinics in Laboratory Medicine,
Journal of Software,
Strategic Direction,
Academic Medicine,
Journal of Extension,
Bottom Line,
International Journal of Contemporary Hospitality Management,
European Journal of Scientific Research,
Annals of the New York Academy of Sciences,
Renewable and Sustainable Energy Reviews,
Research Methodology in Strategy and Management,
Healthcare Strategic Management,
New Zealand Geographer,
Local Government Studies,
Topics in Clinical Nutrition,
Human Relations,
Journal of the American Pharmacists Association,
ACIMED,
Marketing Intelligence and Planning,
Library Management,
College and Undergraduate Libraries,
Management Decision,
International Entrepreneurship and Management Journal,
Canadian journal of nursing leadership.,
Developing World Bioethics,
American Journal of Medicine,
Health Care Management Review,
Management Decision,
Business: Theory and Practice,
Water Policy,
New Library World,
Plan Canada,
Journal of the American Pharmacists Association,
Advances in Strategic Management,
Corporate Governance,
Military Medicine,
Journal of Management Studies,
Urologic Clinics of North America,
Qualitative Market Research,
Australasian Psychiatry,
Industrial Management (Norcross, Georgia),
Electronic Journal of Information Technology in Construction,
Elektron,
Academy of Management Executive,
Igiene e sanità pubblica,
Academy of Management Executive,
American Indian and Alaska Native Mental Health Research,
Engineering Management,
Nursing Outlook,
Neftyanoe khozyaystvo - Oil Industry,
Education Policy Analysis Archives,
Journal of Biolaw and Business,
Natural Resources Research,
Journal of Nursing Administration,
Marketing Intelligence & Planning,
Environment,
Journal of Nursing Administration,
Healthcare Financial Management,
Primary Care Update for Ob/Gyns,
Seminars for nurse managers,
Healthcare Financial Management,
Healthcare Financial Management,
Clinician in Management,
Engineering, Construction and Architectural Management,
Trends in Cognitive Sciences,
Journal of Healthcare Management,
Health Policy and Planning,
Medical Group Management Journal,
Medical Group Management Journal,
Healthcare Financial Management,
Journal of Management Studies,
Mineral Resources Engineering,
Quality Progress,
Journal of Business Venturing,
Ostomy/wound management,
Academic Medicine,
International Journal of Operations and Production Management,
AAOHN Journal,
Clinical Laboratory Management Review,
Healthcare Financial Management,
Public Health Reports,
Biomedical Instrumentation and Technology,
Journal of Business Strategy,
International Journal of Conflict Management,
Journal of Business Strategy,
International Journal of Manpower,
Journal of Managerial Psychology,
Journal of Business Strategy,
International Marketing Review,
Academy of Management Journal,
Hospitals,
Management Decision,
Papers of the Regional Science Association,
Journal of Business Strategy,
Journal of Business Strategy,
