document id	author id	frequency
1	1037	7
1	1768	1
1	3075	1
1	4565	1
1	7318	1
1	7703	1
1	9219	1
1	9327	1
1	11953	1
1	12129	1
1	13296	3
1	13806	5
1	14206	2
1	19534	1
2	4022	5
2	14277	1
3	1021	1
3	1313	2
3	1769	1
3	1984	1
3	2983	2
3	3075	1
3	3931	1
3	5710	2
3	9009	3
3	9210	9
3	9219	2
3	9236	3
3	9327	2
3	9338	2
3	9377	1
3	10027	3
3	10815	1
3	11953	2
3	12129	1
3	12641	1
3	12736	1
3	13165	17
3	13806	12
3	15055	2
3	15971	5
3	17024	1
3	19017	6
3	19534	5
3	20164	1
3	20719	1
3	21880	1
3	25017	1
3	25044	7
4	1313	2
4	4565	1
4	6186	3
4	9009	3
4	9219	1
4	9327	1
4	11953	1
4	12129	2
4	12552	3
4	12736	2
4	13806	8
4	14277	3
4	17837	1
4	18490	3
4	18816	2
4	19534	3
4	24973	2
4	26286	9
5	21909	1
6	9948	1
6	20603	1
6	23272	1
10	1313	3
10	5304	1
10	9210	1
10	13165	3
10	13806	1
10	18816	1
10	19017	2
10	20225	4
10	24252	1
10	25044	2
11	1313	2
11	1768	1
11	4565	1
11	9009	1
11	13806	4
11	18816	2
11	19549	1
11	21909	1
12	1021	1
12	1313	2
12	9377	1
12	13165	4
12	13806	1
12	18816	1
12	19017	5
12	22671	1
12	25044	1
13	1313	1
13	1768	1
13	2811	1
13	2983	9
13	3075	1
13	3931	5
13	5710	3
13	7318	1
13	7703	1
13	9009	3
13	9210	2
13	9236	2
13	9327	1
13	10027	3
13	10815	1
13	11953	2
13	12129	1
13	13165	1
13	13806	8
13	15971	1
13	18816	1
13	19534	7
13	20719	1
13	25044	1
13	25685	1
13	26286	1
14	1021	1
14	1313	3
14	2811	3
14	2983	1
14	3075	1
14	4565	1
14	4587	1
14	7318	1
14	7703	2
14	9009	1
14	9210	5
14	9219	1
14	9338	2
14	9377	1
14	13165	13
14	13806	9
14	15055	1
14	18816	1
14	19017	6
14	24252	2
14	25044	6
14	25156	1
14	26060	3
15	1021	1
15	1313	1
15	3075	1
15	4565	3
15	9009	1
15	9327	1
15	9338	2
15	12641	1
15	13165	1
15	13806	5
15	18816	1
15	19017	1
15	19720	1
15	25156	1
15	26060	1
16	2983	1
16	9134	5
16	10027	1
16	19534	1
16	24973	6
16	25685	9
17	2983	1
17	13296	1
18	1313	1
18	9009	1
18	9338	1
18	13109	1
18	13806	1
18	14206	1
18	18816	1
18	20164	1
18	20807	1
18	22742	2
19	1021	1
19	13165	1
19	14277	1
19	19017	1
20	13884	1
21	4022	3
21	9134	1
21	24973	1
21	26286	1
22	1021	1
22	1313	4
22	2983	1
22	3075	1
22	4565	1
22	7318	1
22	7703	1
22	9210	1
22	9338	2
22	13165	6
22	13806	5
22	15055	1
22	18816	1
22	19017	3
22	22671	4
22	24252	2
22	25044	3
22	25156	1
22	26060	1
23	14277	1
27	1769	5
27	1984	2
27	2983	1
27	3931	1
27	10027	1
27	17024	3
27	19534	1
27	20164	2
27	20807	3
27	21880	1
27	25017	3
30	1021	1
30	1313	4
30	2983	1
30	5710	1
30	9009	2
30	9338	1
30	13165	3
30	13806	5
30	16860	1
30	18816	2
30	19017	1
30	19720	1
30	20719	1
30	22671	3
30	24462	3
30	25156	2
30	26060	1
31	1021	1
31	1313	2
31	2811	1
31	3075	3
31	7703	1
31	9009	2
31	9219	1
31	9236	1
31	9338	4
31	10027	1
31	12129	1
31	13165	3
31	13806	7
31	16446	1
31	16860	2
31	18816	2
31	19017	1
31	19534	1
31	19720	4
31	24462	3
31	25156	1
35	1021	1
35	1313	3
35	2811	1
35	3075	3
35	4565	1
35	7318	1
35	7703	2
35	9009	1
35	9210	1
35	9219	1
35	9236	1
35	9338	1
35	9377	2
35	10027	1
35	12129	1
35	13165	6
35	13806	7
35	18816	1
35	19017	4
35	19534	1
35	22671	1
35	24252	2
35	25044	2
35	25156	1
35	26060	1
36	1313	2
36	2983	1
36	4565	1
36	5710	1
36	9134	4
36	9948	1
36	10027	1
36	12129	1
36	12736	1
36	13806	2
36	14277	1
36	18816	1
36	19534	7
36	20603	12
36	23272	10
36	24973	19
36	25685	1
37	1021	3
37	1313	4
37	3075	2
37	7318	1
37	7703	1
37	9009	2
37	9377	2
37	13165	10
37	13806	6
37	15055	1
37	18816	2
37	19017	11
37	20603	1
37	22671	1
37	25044	1
39	1313	1
39	1768	1
39	13041	7
39	13165	2
39	13806	1
39	17284	11
39	19017	1
39	23292	12
41	1769	1
41	1984	1
41	3931	2
41	4565	1
41	9210	2
41	9236	2
41	10027	2
41	13806	4
41	15971	1
41	16860	1
41	17024	1
41	19534	7
41	20719	1
41	20988	1
41	21909	1
41	25017	1
42	1037	2
42	9948	3
43	4565	1
43	13109	3
43	13806	1
43	19354	2
44	11727	2
44	24064	2
44	25017	1
45	14277	1
45	17837	1
45	25156	1
46	1768	7
46	9327	1
46	18850	2
46	19549	3
48	1313	2
48	1768	1
48	2983	6
48	3931	1
48	4565	2
48	5710	7
48	9009	4
48	9210	4
48	9338	2
48	10027	1
48	10815	4
48	11953	1
48	12641	1
48	13109	2
48	13165	2
48	13806	15
48	15971	2
48	16860	1
48	17837	2
48	18816	2
48	19354	1
48	19534	2
48	20719	1
48	20988	1
48	25044	3
48	25685	3
49	13041	1
49	23292	1
50	1313	2
50	13041	6
