label	replace by
calero, c	calero-medina, c
medina, cc	calero-medina, c
medina, cmc	calero-medina, c
moed, h	moed, hf
moed, hk	moed, hf
noyons, e	noyons, ecm
noyons, ec	noyons, ecm
tijssen, r	tijssen, rjw
vaneck, jn	van eck, nj
van leeuwen, t	van leeuwen, tn
vanleeuwen, t	van leeuwen, tn
vanleeuwen, tn	van leeuwen, tn
vanraan, a	van raan, afj
vanraan, afj	van raan, afj
vanraananton, fj	van raan, afj
van raan, a	van raan, afj
van raan, t	van raan, afj
cooper, c.	cooper, c.l.
karasek, r.	karasek, r.a.
marmot, m.	marmot, m.g.
schaufeli, w.	schaufeli, w.b.
stansfeld, s.	stansfeld, s.a.
bankes, s.	bankes, s.c.
collins, m.	collins, m.t.
lempert, r.	lempert, r.j.
popper, s.	popper, s.w.
reed, p.	reed, p.m.
