Title,Link
"Risk assessment under deep uncertainty: A methodological comparison","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521"
"Enhancing ontological reasoning with uncertainty handling for activity recognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578"
"Comparing Robust Decision-Making and Dynamic Adaptive Policy Pathways for model-based decision support under deep uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7"
"Exploring scientific information for policy making under deep uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8"
"A synthesis of automated planning and reinforcement learning for efficient, robust decision-making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f"
"Comparative study of surrogate models for uncertainty quantification of building energy model: Gaussian Process Emulator vs. Polynomial Chaos Expansion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b"
"Value driven methodology to assess risk and operating robustness for grade engineering strategies by means of stochastic optimisation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2"
"A novel versatile architecture for autonomous underwater vehicle’s motion planning and task assignment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9"
"Robust decision making in data scarce contexts: addressing data and model limitations for infrastructure planning under transient climate change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce"
"Many roads to Rome: The emergence of pathways from patterns of change through exploratory modelling of sustainability transitions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e"
"Robust satisficing decision making for unmanned aerial vehicle complex missions under severe uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994759269&partnerID=40&md5=14c5c164ac7e35f7db185dc16c78e442"
"The geopolitical impact of the shale revolution: Exploring consequences on energy prices and rentier states","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986880428&partnerID=40&md5=b83ca3f0823788083a0ae4921da30bf7"
"Synthetic drought scenario generation to support bottom-up water supply vulnerability assessments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994474392&partnerID=40&md5=1b0db52b0a87d1cbb71026b1a592a896"
"Improving scenario discovery by bagging random boxes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394264&partnerID=40&md5=a05924dada4918d240c774a3d2b54fea"
"Choosing small sets of policy-relevant scenarios by combining vulnerability and diversity approaches","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085712&partnerID=40&md5=d3e424c2afa328a6cc6c5f7706253af8"
"Transferability of hydrological models and ensemble averaging methods between contrasting climatic periods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948067&partnerID=40&md5=6b9a3167f83f8b794b8803963df2ffef"
"Building climate resilience into power systems plans: Reflections on potential ways forward for Bangladesh","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988723564&partnerID=40&md5=51a965218f49bcaaeea51e396f9895e7"
"Strategies against shocks in power systems – An analysis for the case of Europe","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988514062&partnerID=40&md5=b0b6fe3253beb5a1dd6120c083c86e46"
"A process-mining-based scenarios generation method for SOA application development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951777028&partnerID=40&md5=58165820f1b77b275c931bd2d92afff0"
"Appropriate complexity landscape modeling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978252830&partnerID=40&md5=4b72d65f2e9db5a8dc6192fa7da7ce68"
