"Lever","sNPVProfit1RegretPercentil75","sInstalledBase1RegretPercentil75","aOrderShare1RegretPercentil75","aPerformance1RegretPercentil75","aPatentesEmpresaTemAcesso1RegretPercentil75","sCumulativeAdoptersRegretPercentil75","sPriceAvgRegretPercentil75","aPerformanceAvgRegretPercentil75","sTotalInstalledBaseRegretPercentil75","LeverCode","CasoBase","aSwitchForCapacityStrategy1","aPercPeDAberto1","aDesiredMarketShare1","aOrcamentoPeD1"
1,397669158.873491,7276.42994293019,0.141256314165644,0.700751812973164,116.806690264954,1320.24312639175,5247.1193843526,0.910674558600918,1347.7418094556,"1",1,1,0,0.3,0.1
2,598903266.165278,20629.6054802149,0.364877817382011,1.20495216134237,159.185996092596,2131.65058204381,8524.51021082307,0.8698940789786,2002.04076662549,"2",0,2,0,0.3,0.1
3,513421791.279707,8831.13031467276,0.169770889897803,0.791763805769507,120.921559072827,1316.31290373687,4904.55703388377,0.599754415042621,1312.71186378665,"3",0,1,0.5,0.3,0.1
4,693408604.219738,20942.9865858928,0.380484706294297,1.24083559468305,162.521115599302,2131.64374988772,8203.37547764862,0.500854976739676,1862.51721696135,"4",0,2,0.5,0.3,0.1
5,599902276.267738,9142.75135151223,0.195283551426168,0.863416792357784,124.382528544071,1448.2093023076,4660.7847819716,0.391902065869453,1368.93424017539,"5",0,1,0.9,0.3,0.1
6,768576892.781143,21502.9478685998,0.387766792769603,1.28548589639743,163.121215330057,2109.84439856534,7622.92231370399,0.278184039019843,1916.52892393875,"6",0,2,0.9,0.3,0.1
7,401770485.50053,13621.4156502896,0.243438235971728,0.835753550787879,130.242018881129,1682.81655982198,7301.20684381543,0.919920629988143,1662.97637341192,"7",0,1,0,0.2,0.1
8,701648012.703811,24218.1458652338,0.408705210539514,1.29830538624151,170.572355621415,1734.86785152065,8226.78442522831,0.828565807496682,1802.88002022543,"8",0,2,0,0.2,0.1
9,511690862.06272,14484.3471387191,0.260819139998271,0.948254962603131,134.211727113378,1683.58450076865,6996.40693252649,0.580184177559114,1666.53949949757,"9",0,1,0.5,0.2,0.1
10,777519136.778719,24323.8867889879,0.435477954442512,1.33182500582557,172.671229738638,1762.60983782591,7865.39541484484,0.497812559284518,1725.29483078896,"10",0,2,0.5,0.2,0.1
11,607302450.964548,14905.6632600869,0.271383476632039,0.990945556788824,137.404136722181,1659.45433077922,6618.87395070253,0.34653765157763,1660.49548452561,"11",0,1,0.9,0.2,0.1
12,846287995.658619,24470.0765728606,0.442950013723305,1.36782682865814,172.96806216393,1732.20242113256,7503.49756558221,0.29656834970859,1811.53863103348,"12",0,2,0.9,0.2,0.1
13,338723234.936555,945.816340940659,0.0271223303703249,0.57354511202272,94.5358028835408,750.815469215186,2986.51854073882,0.889917086721248,901.66615131634,"13",0,1,0,0.4,0.1
14,566776798.931494,19304.3971500374,0.358574291563547,1.18464414511988,156.088676753165,1944.96716166414,8853.33027406115,0.8698940789786,2002.04076662549,"14",0,2,0,0.4,0.1
15,519665788.695144,2246.48560343438,0.0507066759718903,0.656198000902898,101.623560367506,785.541945315648,2416.56736453122,0.591683698220116,856.985466521978,"15",0,1,0.5,0.4,0.1
16,658564224.389835,19766.524069707,0.364886888994152,1.24083559468305,156.887052899363,1834.99762058736,8460.90839822877,0.509829799258262,1886.40836757994,"16",0,2,0.5,0.4,0.1
17,643572766.339241,3070.57836570937,0.0668946309083249,0.70834040957024,106.922360456184,895.939433220174,2364.29165141632,0.370973716049283,915.634489679296,"17",0,1,0.9,0.4,0.1
18,761918523.92552,20520.7873196547,0.37963143502618,1.27143844091986,159.151131041408,1933.47428575759,8294.4390648223,0.282301001216832,1893.38697953426,"18",0,2,0.9,0.4,0.1
19,258564860.789611,7771.12688418338,0.143881653202057,1.5192646541981,190.138846206871,1035.19139083592,4006.11822466452,1.17448479291942,1280.04399417974,"19",0,1,0,0.3,0.05
20,524158136.672155,20502.570374316,0.364243867377275,1.61947922855312,197.162051134189,1825.62759272865,8116.49609623185,0.928586096170485,2007.79642688994,"20",0,2,0,0.3,0.05
21,371287014.347519,8603.6072192829,0.169677317141885,1.54704932554719,190.845014926979,1139.27232879374,3682.18384341124,0.867144774287281,1231.40337796646,"21",0,1,0.5,0.3,0.05
22,595083136.587467,20989.0237073577,0.375458997509275,1.64259522879501,197.604031521381,1859.91924480136,7517.81930022426,0.651101020037852,1815.71671670614,"22",0,2,0.5,0.3,0.05
23,460990080.958307,9223.57325578797,0.187565311032229,1.56389418914553,192.393381035179,1150.2178782351,3620.34280632961,0.732192994093086,1150.01179233503,"23",0,1,0.9,0.3,0.05
24,669113969.703973,21480.5898823823,0.383942537669936,1.62759082395495,197.455124541394,2030.48435192608,7188.8116742497,0.462062811848919,1900.34469616286,"24",0,2,0.9,0.3,0.05
25,328221015.276694,13667.8530702299,0.233253139996098,1.54322651395067,194.299050122648,1445.73646167196,6162.28791506461,1.09421553436722,1511.9938051637,"25",0,1,0,0.2,0.05
26,624113607.035878,24197.6731425754,0.41100754968378,1.63400531589032,199.803651566511,1734.11847240376,8139.20649094209,0.858983160182005,1812.51903818056,"26",0,2,0,0.2,0.05
27,378755033.398075,14308.7065808133,0.249409145105647,1.55598226909114,194.237817177891,1532.11823579493,6409.81858441667,0.833498837249118,1586.84043793832,"27",0,1,0.5,0.2,0.05
28,695682824.911557,24278.6799494641,0.420554499180192,1.65513595460817,199.094821721152,1766.06290392155,7489.99481637027,0.591652145309096,1728.1418740489,"28",0,2,0.5,0.2,0.05
29,453445430.579178,14611.7644977236,0.266492150034538,1.56178071386906,194.229525696574,1477.72083630289,6041.51456970687,0.632780190826624,1534.99059438122,"29",0,1,0.9,0.2,0.05
30,754304002.326386,24393.9356788518,0.433155313828785,1.67043582129106,200.776515521264,1698.72141444089,6972.37592639015,0.441965790200596,1756.10131154761,"30",0,2,0.9,0.2,0.05
31,211920013.14382,935.144315928282,0.0149562436084497,1.47119939465564,185.701687701414,359.048656869557,918.931697190113,1.19404619950037,493.699293464204,"31",0,1,0,0.4,0.05
32,502812847.400389,19634.2632027985,0.359842475290425,1.61947922855312,196.79557455836,1720.69639388791,8307.08135692617,0.931554030770891,2008.54867081403,"32",0,2,0,0.4,0.05
33,394291939.229793,2204.40567690428,0.0484855889081433,1.50418726039097,186.16493185647,375.644242777043,595.876926906614,0.932257531642358,451.847110812283,"33",0,1,0.5,0.4,0.05
34,573108270.757225,20175.0050790933,0.364370651085774,1.63164900923133,197.263565370171,1853.20108354779,7644.38982783096,0.681313236923655,1882.26539115686,"34",0,2,0.5,0.4,0.05
35,536340848.570277,3228.81127919823,0.0626591968029907,1.51205365223436,188.570912338192,153.574591723953,834.810220108142,0.760391280929933,251.176095340074,"35",0,1,0.9,0.4,0.05
36,652652058.49633,20412.2539542138,0.372240561986961,1.62741484870972,197.319488463753,1937.0884177786,7680.49635122614,0.471516568115181,1907.91177121259,"36",0,2,0.9,0.4,0.05
37,551000567.912254,7900.14022791691,0.165920169695392,0.134732526161573,39.5394678028873,1437.70309212812,6751.96958573366,0.774287086644656,1428.26001581247,"37",0,1,0,0.3,0.15
38,723791590.442374,21037.2660070621,0.379320470713149,0.788810187197218,114.151072281902,2169.95547866419,8963.60017650924,0.788241958205697,2117.26108532318,"38",0,2,0,0.3,0.15
39,673690744.432467,9057.4319066989,0.188899291762469,0.232282749603512,49.7445545291195,1436.18998820903,6111.39740706332,0.341862090501743,1413.89135662788,"39",0,1,0.5,0.3,0.15
40,806799091.789896,21613.9328135183,0.400423216155674,0.851999873572035,120.413241550094,2182.23572547193,8912.09666383033,0.359963218843216,2125.44191138426,"40",0,2,0.5,0.3,0.15
41,762670284.101813,9715.36817835451,0.21162021780295,0.30830402090259,54.8989653386141,1531.06764868205,5936.50934937162,0.0757727530247392,1440.96383311568,"41",0,1,0.9,0.3,0.15
42,877290789.640132,22168.9755935188,0.415340946784358,0.969411383631275,127.865330627107,2128.52007366951,8384.80847458434,0.176425383454228,2142.53062033154,"42",0,2,0.9,0.3,0.15
43,570902364.619774,13951.2456632004,0.256122112892107,0.347699249819037,71.3184023236844,1776.4262480735,8379.27747709329,0.796058144961402,1800.92151330123,"43",0,1,0,0.2,0.15
44,805859927.313099,24308.894480613,0.436545448498741,0.912813784801411,133.563013943014,2071.13263069164,8953.1529210633,0.790453040040022,2091.70239607878,"44",0,2,0,0.2,0.15
45,674280251.746479,14690.2777513976,0.284868045032214,0.442165591245927,79.6961673134869,1743.20685088375,7961.25343916416,0.344163411466822,1720.4331375867,"45",0,1,0.5,0.2,0.15
46,895893333.665582,24617.2809819418,0.446166326497553,0.978344880991465,141.470191500992,1803.89862310534,8292.37100070467,0.409734585500496,1892.15873538234,"46",0,2,0.5,0.2,0.15
47,795049983.066459,15040.9460797317,0.306399599025018,0.558441920423173,89.459010586047,1757.93290006508,7919.91563365159,0.12835763934153,1686.68954536126,"47",0,1,0.9,0.2,0.15
48,947271828.943803,24791.0871698752,0.449889154638589,1.05310259729185,144.657635821766,1769.65635876101,8107.18930600931,0.190148271405537,1889.5888003522,"48",0,2,0.9,0.2,0.15
49,552772821.723103,1387.85071495201,0.0461048272287612,0,0,1013.01521135084,5349.52331518906,0.62026992882338,1122.73675661288,"49",0,1,0,0.4,0.15
50,699698610.614297,19555.3995688929,0.370475330590662,0.788810187197218,108.344724947359,2139.40379844935,9107.08269472221,0.788241958205697,2133.26763035288,"50",0,2,0,0.4,0.15
51,681086120.48464,2707.53606606486,0.0791370085437062,0.00782892139098035,12.2719993957661,1030.24625008904,4261.12970268035,0.227891652551796,1072.54478231848,"51",0,1,0.5,0.4,0.15
52,798592893.097699,20310.6048450184,0.382809689472197,0.823891857840863,114.379993146634,2156.78558461753,9201.23045548609,0.357667268695752,2165.30048581396,"52",0,2,0.5,0.4,0.15
53,846136460.974058,3913.60117225579,0.0911384215995311,0.0243220107974869,20.6449805513847,1124.76537577828,4108.30486873724,1.77635683940025e-15,1134.96427874071,"53",0,1,0.9,0.4,0.15
54,863780236.878305,20566.6628787544,0.401137296244296,0.929679392580061,123.60107305549,2103.97174320337,8740.27807984493,0.165424625841042,2169.75205304461,"54",0,2,0.9,0.4,0.15
