"","Scenario","MelhorEstrategia","CasoInteresse","sNPVProfit1RegretPerc","Lever","aFractionalDiscardRate","aReferenceIndustryDemandElasticity","aReferencePopulation","aInnovatorAdoptionFraction","aWOMStrength","aPopulation","aVolumeReportingDelay","aCapacityAcquisitionDelay","aSensOfAttractToAvailability","aSensOfAttractToPrice","aLCStrength","aRatioOfFixedToVarCost","aNormalProfitMargin","aNormalCapacityUtilization","aWeightOnSupplyLine","aSensOfPriceToCosts","aSensOfPriceToDSBalance","aSensOfPriceToShare","aTempoMedioRealizacaoPeD","aCustoMedioPatente","aTempoMedioAvaliacao","aTaxaRejeicao","aTempodeInutilizacaoPatente","aPerfSlope","aSensOfAttractToPerformance","aInitialReorderShare","aPercPeDAberto2","aPercPeDAberto3","aPercPeDAberto4","aOrcamentoPeD2","aOrcamentoPeD3","aOrcamentoPeD4","aDesiredMarketShare2","aDesiredMarketShare3","aDesiredMarketShare4","aSwitchForCapacityStrategy2","aSwitchForCapacityStrategy3","aSwitchForCapacityStrategy4"
"1",1,25,0,0.0438505238220697,37,0.155928108286229,0.209012632159283,97440.4660856817,0.00155390393287176,1.10279771660001,250112.04405466,0.253340949984267,1.18557954130927,-2.28500074533746,-9.63565411340445,0.743777537202463,3.25771656945348,0.185023827628116,0.869652952717617,0.621270353213768,1.07999125870643,0.198989000759902,-0.104971557535697,7.31318449638784,3648573.66298442,1.35137571417494,0.505868846596219,5.50181862266036,0.0235735505248498,-5.9267549771443,0.551270228143979,0.0101423178345431,0.152402521343902,0.685268489504233,0.124792310611345,0.0523763132692548,0.110743717622245,0.390144710027147,0.187099767278298,0.416204735128884,1.42635294280524,2.18644199290548,1.66265498926027
"2",2,49,0,0.22219691702947,37,0.414679714244247,0.83881980925682,32312.7158165444,0.00344606248787139,1.08686610529176,119591.927473901,0.314567146381451,1.23072012940422,-2.7845026001567,-6.61106203547679,0.752434782072785,3.34607499726699,0.173104719569907,0.740285146350507,0.940653406105121,0.814576722388156,0.243216491287749,-0.127689213912003,3.12875605644076,2884625.42475318,2.1025323654362,0.577760918559972,13.579676387005,0.0460536759529496,-5.50383254723158,0.272257905530382,0.0170581569941714,0.361914213309064,0.873166879693745,0.101479741927469,0.106222501330543,0.142778114157845,0.304786495945451,0.219637140475534,0.376845989854867,1.98891893761635,1.38446920493271,2.43430585741556
"3",3,31,0,0.0590675062092996,37,0.360927959543032,0.0966342186974362,30000.3925625642,0.00249362799324095,0.567399320872035,107934.432911921,0.369082336924912,1.10030432690051,-5.53549339509103,-10.9513642025646,0.847576059555286,4.35402762110112,0.140392098965123,0.80941265415505,0.504763609420625,0.635383498430019,0.163323192025709,-0.148736844624393,5.69475410734303,3986055.5199848,2.39679099183762,0.225981971151661,7.98710978627205,0.0218231907760492,-4.09615072242916,0.711920688167936,0.261439960499993,0.672932479913579,0.820615690981504,0.131477209199686,0.137588455385761,0.0689026395368856,0.429868390560703,0.162948611746629,0.41352848543541,0.530563641002495,0.720027868719271,2.15502207829835
"4",4,31,0,0.154259794104318,37,0.347005221588653,0.179542001795489,81770.7726190565,0.00473918693716172,1.28289665536338,140388.738833638,0.320819514602481,0.920061578194145,-3.56870983102359,-6.80693696317263,0.883425280375173,2.77313345286646,0.121370733866817,0.70393179974705,0.906446468708455,0.617081827281509,0.157733033297409,-0.0529302388948854,3.33719922375167,3501511.69163059,1.77087025106419,0.5584057178027,8.12851473178016,0.0268488284942384,-2.96892844913527,0.743243936571933,0.910814387369901,0.0934752726450097,0.651666904893937,0.123802891135565,0.117679870177875,0.148161485322285,0.373677009966882,0.215029956410785,0.389041290881298,2.48992417873436,0.541439888748305,1.35605213218567
"5",5,13,1,0.270153462898828,37,0.257098286749679,0.0101462303276639,93431.1072601413,0.00574634937630733,1.30024672481732,200732.590886527,0.311933663203235,1.47325889955508,-3.6692182642594,-11.3316889738105,0.859688761915313,3.39949541801121,0.106342905318248,0.973544788203901,0.800458405257668,1.3434261647833,0.234240081888856,-0.052390512458398,4.04386866426212,3363508.33967677,2.50128853712464,0.401657221233007,14.1155599967577,0.0358523526156787,-4.51808766731527,0.561831868561381,0.343684950061142,0.606764868922764,0.899669365336886,0.0786497607177589,0.106881711365306,0.0883516153052915,0.404450725757063,0.187570723044482,0.394675299208309,2.11306815834134,0.811333224985003,0.663920137279562
"6",6,49,0,0.186130021807089,37,0.237546055191585,0.794964233416831,39915.6557134411,0.0027814589459938,0.353830402868567,73399.1764870021,0.327967026322003,1.4180735706503,-2.05923979488201,-11.7021207270585,0.912252925858018,4.34181493022712,0.184921834533452,0.914553355517681,0.694072048424277,0.632023370806128,0.236317295827321,-0.128086886049365,4.97294280024944,2825503.73472506,1.51930576078128,0.585871241968125,11.9660786010791,0.0355091424127653,-3.79699010481127,0.603982022666966,0.0311387479363475,0.876028148797341,0.0350494580110535,0.149802421636297,0.125679184356239,0.0623167937500402,0.397558194858173,0.223459162603249,0.358128464862844,2.25795037982885,2.03179707564735,1.55377448619038
"7",7,13,1,0.412470642490893,37,0.486949467930671,0.919133397912374,50035.861922981,0.00538426818309585,1.39173235031927,104361.182141376,0.367527363974223,0.992636740637245,-5.57206558539532,-11.5391980793234,0.985123926662956,2.95761520697619,0.134589582727989,0.939249988061725,0.870088246922824,0.916431150003336,0.244924556841433,-0.140703297744272,3.66990080683609,3897062.93623662,2.1601418593945,0.54463643305609,7.58662169404561,0.0260602384258528,-4.97922902868129,0.305755641841795,0.157857525418513,0.170099708371563,0.844400108330883,0.140514220088022,0.0597866031721933,0.12845127172966,0.409958215378335,0.180556150759861,0.306940995103726,1.95326576265215,1.12831068487213,0.808611638562009
"8",8,49,0,0.00563501437261587,37,0.34440102650978,0.67536870213924,42456.5753494389,0.000347163682831451,0.365235336931306,120816.819973142,0.254139881323936,0.714545376726892,-2.69729354775511,-4.70557342063636,0.743030586340465,1.5161311125441,0.194752259716741,0.80219849795138,0.770698197027086,1.43921344201663,0.247618216273841,-0.100844975313172,4.59230156858102,2032237.12443374,1.20354779118206,0.200353281147778,5.36846415867331,0.0473626852881862,-4.44619240873028,0.784999833452969,0.365499164754292,0.498699693807866,0.575713694127044,0.0509107998632826,0.0851611860076664,0.066559199991636,0.355690030002617,0.213197586310707,0.314649935812363,1.89058574287195,2.28781971324538,1.03427376297094
"9",9,31,0,0.226199821568718,37,0.310536054226415,0.971905698217452,83125.5045830621,3.86447015684098e-05,0.959173239263939,293471.593265418,0.263617843749671,1.05713767353678,-2.12497573751025,-9.64323423199356,0.958882863559527,2.25414941063966,0.186565339967259,0.83155187042302,0.592268685001764,1.1691721891379,0.36271359205246,-0.143209807903389,5.7167180675664,1684051.15148518,2.33301710134139,0.538684749526437,12.8746693095309,0.0214838366368786,-5.07402055849787,0.314553191637411,0.845925426345784,0.662485584300011,0.11102889660513,0.141414851644891,0.0856023233650485,0.096148627479095,0.301023376030626,0.217560507213551,0.386730532457843,1.66498796613582,0.657630496946606,1.63855841644958
"10",10,13,1,0.510086271599042,37,0.28149510763376,0.759058079753304,68863.1145966356,0.000258570450008847,0.730782136402209,173782.409042274,0.333855134649202,1.49865580906626,-5.20916226670612,-6.53146587996744,0.921939424374839,3.83616055451799,0.180130894046044,0.929536136804847,0.589309743842459,1.2604717152298,0.207319772289484,-0.0968965054673608,6.9330684594519,3996966.72023856,1.45163127610693,0.364128609732259,5.9854307663627,0.0279230471974394,-5.01886443298776,0.421087909653119,0.0871218457468785,0.611276224977337,0.67377932462492,0.146141019609058,0.109208210820681,0.116851441758568,0.36057982852959,0.197625905388821,0.309306716506253,2.46655395135612,1.47801314500878,2.40215511362627
