"","aFractionalDiscardRate","aReferenceIndustryDemandElasticity","aReferencePopulation","aInnovatorAdoptionFraction","aWOMStrength","aVolumeReportingDelay","aCapacityAcquisitionDelay","aSensOfAttractToAvailability","aSensOfAttractToPrice","aLCStrength","aRatioOfFixedToVarCost","aNormalCapacityUtilization","aSensOfPriceToCosts","aSensOfPriceToDSBalance","aSensOfPriceToShare","aTempoMedioRealizacaoPeD","aCustoMedioPatente","aTempoMedioAvaliacao","aTaxaRejeicao","aTempodeInutilizacaoPatente","aPerfSlope","aSensOfAttractToPerformance","aInitialReorderShare","aPercPeDAberto2","aPercPeDAberto3","aPercPeDAberto4","aOrcamentoPeD2","aOrcamentoPeD3","aOrcamentoPeD4","aDesiredMarketShare2","aDesiredMarketShare3","aDesiredMarketShare4","aSwitchForCapacityStrategy2","aSwitchForCapacityStrategy3","aSwitchForCapacityStrategy4"
"31",0.145257200673572,0.372781979440479,60130.8059573348,0.00400159552439931,0.613375133119989,0.150706265750341,0.97587452379521,-5.41317387906369,-11.8387433704827,0.907001926312922,2.8345690081361,0.668303483838215,0.900170086877188,0.0764325071757776,-0.0830904617707711,2.51942298745853,1703568.15576088,2.53768719548767,0.514976811536355,6.38834596944507,0.0252667116663878,-7.94103736370802,0.614446624090779,0.916469545544824,0.766463101217523,0.816266166181304,0.126797930150293,0.0896812287842622,0.0907111217936035,0.41558364541732,0.249333599125966,0.329172793819523,1.44610235971155,1.90512587327188,2.04156617720029
"85",0.146253309716354,0.952032098083291,35808.1897099037,0.00719135768889915,1.19837036780629,0.145329054129252,0.598772234172211,-3.51719050962944,-8.68852316296659,0.733691818966181,2.54941395133074,0.966377683051396,0.991268062820891,0.0936009612091584,-0.458846819756436,1.26146835491061,1886104.05912856,2.22498567854811,0.560669943811605,11.1076221348834,0.020550047843644,-8.9026568747405,0.217114122684114,0.113627908237977,0.459040507933823,0.753351983225439,0.124866012629005,0.132805964548257,0.138567346448195,0.369346688706987,0.292370125043672,0.546387444357527,1.66228337425921,1.40004974124983,0.594356662072742
"139",0.128761742770439,0.0831000727775972,63597.9378754564,0.00606851447416702,0.6723412508209,0.169477927859916,0.835695489540813,-2.53819925660733,-5.74698719116859,0.948563511110609,2.2173646882413,0.759979674693663,0.981669678626349,0.000683062538155355,-0.303680600624066,3.76479870636598,1483808.99750395,2.56261319125362,0.425999669029377,5.75609235417796,0.0213769444193459,-5.77258753702044,0.104895891834632,0.445601177004864,0.391835458312416,0.641411896490026,0.120169768387103,0.108402485081227,0.124707416688092,0.492176971830043,0.155308308883687,0.512811263170466,1.3227720733768,2.30168096142487,1.65617878538667
"193",0.162494954839232,0.286196093346225,43053.1125580892,0.000148539602040546,0.752993785264203,0.0628467326109967,0.8086752936634,-4.94194335250184,-9.26257128969766,0.96423144833697,0.8482168825982,0.771701133900788,0.605534153793124,0.234706632444868,-0.373683090195409,2.17038353243028,2332605.84582342,2.40505426580377,0.483865894646966,7.97729848265881,0.0217666500915648,-9.17688863781281,0.38878485698544,0.36112392119132,0.432075180913089,0.376002560557099,0.103223520983709,0.104334280970157,0.0689909056574106,0.401835682389024,0.255323408490338,0.412318647117168,0.883996237022558,1.06468872854388,1.94460168589422
"247",0.168432332620374,0.0658663920022082,81516.0363024042,0.00310633450040361,1.04621158017009,0.148774403568605,0.73331429132726,-4.46344050900545,-10.4990862472821,0.915760071118129,0.831837241316013,0.886118537405971,0.917335580028594,0.0325416603757185,-0.125532712434069,1.31954557267367,1715481.35755584,2.09008688745147,0.303044038734748,8.19528137996094,0.0359962586512955,-8.43692876271903,0.185040756440372,0.921106539673638,0.989511518188519,0.594863160781097,0.111953188977204,0.147363578667049,0.145730368198361,0.419175832809915,0.212699792467291,0.455749656794593,1.57046856187541,0.511923664540215,1.33405890271694
"301",0.182672073157039,0.201568525980692,44908.8310818479,0.00574767957520205,1.48507405538356,0.138117155743821,0.656527382000932,-4.90091023432091,-5.65680630169809,0.930211297748145,0.704004454907686,0.715369915807154,0.735009630131535,0.109280460785085,-0.0498765242792433,1.23486708026961,2800267.3765691,2.54634976813977,0.435821286590653,6.98399201128632,0.0301509367377371,-5.82490995476022,0.355103897804278,0.74176186079625,0.196822252186248,0.172151859044097,0.0571560072551947,0.126674826466828,0.0682218768564053,0.358660976037499,0.282454253500211,0.354734828971885,0.819517981017393,0.869683475664922,1.63265512323693
"355",0.191936672128155,0.214418975609588,47191.3604301226,0.00207675252307556,0.894308093692991,0.140108093430899,0.968426146456623,-4.98902809853666,-10.1456937977206,0.912666356974863,2.45446102811658,0.797002968123648,0.633865543430438,0.0145264980726643,-0.393051896551624,3.00572988019325,2688112.86878306,2.37953450479894,0.315091180489515,14.3249500590377,0.0290580306018332,-10.0964084334578,0.228637602204923,0.384968067317968,0.205710280395579,0.153394312924938,0.0656334925678093,0.138835464065196,0.0659212411086774,0.409723079030402,0.22708697435871,0.494069757325435,1.58580638928409,1.69918168778139,0.621785401608236
"409",0.190185742865549,0.410242747564334,47615.2140276099,0.00911499323754921,1.14615312645142,0.237587693407404,0.724366230396554,-4.16143022383563,-6.79801983459853,0.770693919684272,0.691752831688021,0.780274611174595,0.885664465028094,0.0236066990278778,-0.105980111581157,3.15505811067065,1000477.7678242,1.96294038012216,0.511419467813568,12.4868222788558,0.0329178131578037,-10.3460166299064,0.281069851861452,0.706782602369785,0.726989153731847,0.880355276182527,0.104376963258721,0.115692127555027,0.0741938784848899,0.3021646619907,0.224487209011218,0.35036853113207,0.924867096220411,0.995118120849389,2.27571830152525
"463",0.140838769176509,0.827456124933669,27934.6730300749,0.00223356565454626,1.46739040691033,0.181988279155776,0.626251440846827,-5.60046825765166,-6.15507724490017,0.732999753636308,1.54466802903085,0.932807774926536,0.639133706039866,0.153903253030148,-0.402144491862273,3.85464732050546,1082217.88110677,1.7692086316034,0.431225133159547,13.7657978925155,0.0320349351959488,-10.4047233080491,0.264788814821048,0.351441699675052,0.928978228912456,0.687243457686855,0.0637564822843997,0.111343832664657,0.0800125729019055,0.381007767788437,0.182713077402965,0.382849343411345,0.674294632049778,2.21791346365528,1.21651597671913
"517",0.115961405816721,0.178625471895793,52472.4632728612,0.00372589222411974,1.16079551426251,0.174934755601862,0.518337076838943,-2.78760821075179,-4.14730297570117,0.83582373912225,0.730301807463613,0.945514338945504,0.842600309859845,0.162049244719674,-0.397299140180694,1.9574202391773,2073605.6660139,1.82305636282079,0.583440592427971,12.0268607469159,0.0344950421676889,-11.7336918769777,0.798040877242573,0.561328561708797,0.877204762353795,0.0485520801658276,0.06234638443531,0.0913325070282444,0.0606454072862398,0.304232363074715,0.186901036288182,0.397133200934157,2.17179897752444,1.41577575445783,1.87640526874228
