"";"62"
"Scenario";62
"aUnitsPerHousehold";1
"aDiscountRate";0,04
"aNormalDeliveryDelay";0,25
"aSwitchForCapacity";1
"aFractionalDiscardRate";0,170156988492934
"aInitialDiffusionFraction";0,05
"aReferencePrice";107000
"aReferenceIndustryDemandElasticity";0,899596602228703
"aReferencePopulation";91803,4089524881
"aInnovatorAdoptionFraction";0,00932736826756387
"aWOMStrength";0,410635047368007
"aPopulation";1e+05
"aSwitchForShipmentsInForecast";0
"aVolumeReportingDelay";0,0824468606568553
"aForecastHorizon";1
"aCapacityAcquisitionDelay";0,506463971996563
"aTimeForHistoricalVolume";1
"aReferenceDeliveryDelay";0,25
"aSensOfAttractToAvailability";-3,15277356395498
"aSensOfAttractToPrice";-8,16545611329377
"aLCStrength";0,760701236177236
"aInitialProductionExperience";1e+05
"aRatioOfFixedToVarCost";0,87993134724283
"aNormalProfitMargin";0,2
"aNormalCapacityUtilization";0,697465583538637
"aMinimumEfficientScale";200
"aWeightOnSupplyLine";1
"aTimeToPerceiveCompTargetCapacity";0,25
"aPriceAdjustmentTime";0,25
"aSensOfPriceToCosts";0,696525435523945
"aSensOfPriceToDSBalance";0,208687570785987
"aSensOfPriceToShare";-0,212970158539829
"aSwitchForPerfectCapacity";0
"aPeDLigado";1
"aTempoMedioRealizacaoPeD";2,89327200589236
"aCustoMedioPatente";2763552,98951967
"aTempoMedioAvaliacao";2,40680011550314
"aTaxaRejeicao";0,441262298762449
"aTempoVencimentoPatentes";18
"aTempodeInutilizacaoPatente";12,6986912144814
"aPerfSlope";0,113026957348359
"aPerfMin";0
"aPerfMax";10
"aSensOfAttractToPerformance";-5,86037297705188
"aReferencePerformance";6
"aInitialInvestimentoNaoRealizadoPeD";75114000
"aInitialPatentesRequisitadas";33,384
"aInitialPatentesEmpresa";112,671
"aInitialsPatentesEmDominioPublicoUteis";37,557
"aInitialsInvestimentoPeDDepreciar";367224000
"aInitialReorderShare";0,281790479697404
"aTotalInitialInstalledBaseInutilizado";13000
"aInitialIndustryShipments";2600
"aInitialSharePlayers1";0,28
"aInitialSharePlayers2";0,29
"aInitialSharePlayers3";0,15
"aInitialSharePlayers4";0,28
"aPatentShare1";0,28
"aPatentShare2";0,29
"aPatentShare3";0,15
"aPatentShare4";0,28
"aPercPeDAberto2";0,76341239930247
"aPercPeDAberto3";0,560680747384904
"aPercPeDAberto4";0,217086800450925
"aOrcamentoPeD2";0,0781474120422499
"aOrcamentoPeD3";0,0525399866212392
"aOrcamentoPeD4";0,0779537943904288
"aDesiredMarketShare2";0,541010639666964
"aDesiredMarketShare3";0,22041901840159
"aDesiredMarketShare4";0,294740591499349
"aSwitchForCapacityStrategy2";0,612221111956122
"aSwitchForCapacityStrategy3";0,559277355330496
"aSwitchForCapacityStrategy4";0,751895017559605
"aInitialPrice1";160500
"aInitialPrice2";160500
"aInitialPrice3";160500
"aInitialPrice4";160500
"aModoInitialCumulativeAdopters";2
"aInitialPatentLefts";0
"RSquared";0,866319328072868
"r";0,930762766806273
"RootMeanSquareError";1189,72900962
"SumOfSquareResiduals";15570006,2796453
"MeanSquareError";1415455,11633139
"MeanAbsoluteError";999,097067311169
"MeanAbsolutePercentError";0,171341489562692
"UM_ThielBiasDiffMeans";0,059681143593666
"US_ThielUnequalVariation";0,0375076565437793
"UC_ThielUnequalCovariation";0,902811199862554
