"","x"
"1",468227690.526886
"2",0
"3",142864258.415369
"4",2600.02364110947
"5",0
"6",0
"7",0
"8",25083548.2477362
"9",157140926.782356
"10",450.022568941116
"11",63.5837526321411
"12",0
"13",202635626.257924
"14",0
"15",0
"16",13061713.0943632
"17",1072440.92363024
"18",499206574.765594
"19",0
"20",17991883.5890808
"21",0
"22",1099120449.38085
"23",115992514.949268
"24",0
"25",0
"26",196008537.634491
"27",1035151665.9186
"28",134.503614425659
"29",1782336.93170452
"30",726710366.013257
"31",0
"32",35782096.5903049
"33",162221.312533855
"34",0
"35",0
"36",7.75541400909424
"37",262151543.910639
"38",6257735.61920142
"39",8415552.97964573
"40",2102877096.49299
"41",0
"42",0
"43",0
"44",24453215.3940187
"45",752007921.151071
"46",0
"47",0
"48",133773205.44143
"49",677025871.894541
"50",9949275.09359789
"51",0
"52",89110727.7416785
"53",136945.038403749
"54",10433040.8098927
"55",1256142783.77008
"56",0
"57",0
"58",0
"59",0
"60",815202.154057741
"61",87243.902728796
"62",85188441.6959631
"63",110089177.618212
"64",0
"65",486517406.997395
"66",1087990.73509002
"67",28680631.0195207
"68",0
"69",2197211.20229745
"70",11635424.3279634
"71",704462431.466607
"72",0
"73",5032433.46693408
"74",0
"75",0
"76",8638482.24231911
"77",0
"78",246571208.136548
"79",0
"80",0
"81",352.20287322998
"82",6856356.56953132
"83",7993.50497722626
"84",726816349.73081
"85",0
"86",1064.26409590244
"87",266612371.917517
"88",9469.55251717567
"89",8454162.68635213
"90",0
"91",216830341.794626
"92",0
"93",453575.500927925
"94",0
"95",3236567.95101118
"96",91080.5975919962
