"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161"
"time";0;0,0625;0,125;0,1875;0,25;0,3125;0,375;0,4375;0,5;0,5625;0,625;0,6875;0,75;0,8125;0,875;0,9375;1;1,0625;1,125;1,1875;1,25;1,3125;1,375;1,4375;1,5;1,5625;1,625;1,6875;1,75;1,8125;1,875;1,9375;2;2,0625;2,125;2,1875;2,25;2,3125;2,375;2,4375;2,5;2,5625;2,625;2,6875;2,75;2,8125;2,875;2,9375;3;3,0625;3,125;3,1875;3,25;3,3125;3,375;3,4375;3,5;3,5625;3,625;3,6875;3,75;3,8125;3,875;3,9375;4;4,0625;4,125;4,1875;4,25;4,3125;4,375;4,4375;4,5;4,5625;4,625;4,6875;4,75;4,8125;4,875;4,9375;5;5,0625;5,125;5,1875;5,25;5,3125;5,375;5,4375;5,5;5,5625;5,625;5,6875;5,75;5,8125;5,875;5,9375;6;6,0625;6,125;6,1875;6,25;6,3125;6,375;6,4375;6,5;6,5625;6,625;6,6875;6,75;6,8125;6,875;6,9375;7;7,0625;7,125;7,1875;7,25;7,3125;7,375;7,4375;7,5;7,5625;7,625;7,6875;7,75;7,8125;7,875;7,9375;8;8,0625;8,125;8,1875;8,25;8,3125;8,375;8,4375;8,5;8,5625;8,625;8,6875;8,75;8,8125;8,875;8,9375;9;9,0625;9,125;9,1875;9,25;9,3125;9,375;9,4375;9,5;9,5625;9,625;9,6875;9,75;9,8125;9,875;9,9375;10
"sNPVProfit1";0;530750;1060608,4507811;1616385,38648177;2210998,32168604;2850022,80775047;3535657,08364843;4269030,55160508;5051477,46295567;5885185,21142469;6773478,91075957;7720903,21278311;8733165,86645966;9816295,60994912;10974777,6268009;12210553,6542062;13522842,2981948;14908249,7005407;16360950,1766801;17872857,0221372;19433764,2762256;21031615,6283757;22653370,8913189;24285912,549017;25916791,978479;27534769,5692305;29130161,4246146;30695022,7228643;32223200,223199;33710284,4163552;35153488,8520831;36551481,8128624;37904193,8498224;39212614,9488138;40478591,585368;41704632,4751999;42893730,363862;44049205,3679911;45174573,3527408;46273440,6850134;47349424,4141354;48406096,2876362;49446948,4089057;50475377,5682543;51494684,5518367;52508084,3017426;53518722,7886447;54529696,8504204;55544073,9371523;56564909,5385991;57595260,9172837;58638196,5357247;59696801,1837646;60774177,2544131;61873442,8897915;62997727,8476385;64150167,9562792;65333898,9651754;66552050,488618;67807740,6038841;69104071,5201375;70444126,5938956;71830968,8397977;73267640,9764793;74757166,958444;76302554,8759515;77906801,0550528;79572895,1574178;81303826,062591;83102588,3116174;84972188,898292;86915654,2101451;88936036,9432249;91036422,8403862;93219937,1299407;95489750,5682832;97849085,0149591;100301218,490467;102849489,68522;105497301,902159;108248126,425578;111105505,314961;114073053,625541;117154461,057365;120353493,032541;123673991,19659;127119873,335078;130695132,691385;134403836,666129;138250124,873627;142238206,52626;146372357,113781;150656914,341752;155096273,291294;159694880,761467;164457228,755604;169387847,074006;174491294,977354;179772151,888083;185235007,100695;190884448,476496;196725050,103608;202761358,909164;208997880,217467;215439062,255445;222089279,61514;228952815,692013;236033844,127718;243336409,296639;250864405,886751;258621557,63749;266611395,30998;274837233,978297;283302149,744286;292008955,99268;300960179,317791;310158035,2677;319604404,066421;329300806,488888;339248380,07739;349447855,901212;359899536,07332;370603272,248741;381558445,338547;392763946,680717;404218160,914399;415918950,80685;427863644,282383;440049023,899708;452471319,017866;465126200,881329;478008780,841626;491113611,91586;504434693,861751;517965481,924204;531698899,38007;545627353,975768;559742758,316953;574036554,23082;588499741,080158;603122907,964427;617896269,697409;632809706,403932;647852806,530495;663014913,016966;678285172,3297;693652586,011191;709106064,358547;724634481,803521;740226733,531251;755871792,844243;771558768,752917;787276963,255227;803015927,755753;818765518,069925;834515947,461947;850257837,175782;865982263,937356;881680803,932814;897345572,802039;912969261,228285
"sNPVProfit2";0;530750;1060608,4507811;1616385,38648177;2210998,32168604;2850022,80775047;3535657,08364843;4269030,55160508;5051477,46295567;5885185,21142469;6773478,91075957;7720903,21278311;8733165,86645966;9816295,60994912;10974777,6268009;12210553,6542062;13522842,2981948;14908249,7005407;16360950,1766801;17872857,0221372;19433764,2762256;21031615,6283757;22653370,8913189;24285912,549017;25916791,978479;27534769,5692305;29130161,4246146;30695022,7228643;32223200,223199;33710284,4163552;35153488,8520831;36551481,8128624;37904193,8498224;39212614,9488138;40478591,585368;41704632,4751999;42893730,363862;44049205,3679911;45174573,3527408;46273440,6850134;47349424,4141354;48406096,2876362;49446948,4089057;50475377,5682543;51494684,5518367;52508084,3017426;53518722,7886447;54529696,8504204;55544073,9371523;56564909,5385991;57595260,9172837;58638196,5357247;59696801,1837646;60774177,2544131;61873442,8897915;62997727,8476385;64150167,9562792;65333898,9651754;66552050,488618;67807740,6038841;69104071,5201375;70444126,5938956;71830968,8397977;73267640,9764793;74757166,958444;76302554,8759515;77906801,0550528;79572895,1574178;81303826,062591;83102588,3116174;84972188,898292;86915654,2101451;88936036,9432249;91036422,8403862;93219937,1299407;95489750,5682832;97849085,0149591;100301218,490467;102849489,68522;105497301,902159;108248126,425578;111105505,314961;114073053,625541;117154461,057365;120353493,032541;123673991,19659;127119873,335078;130695132,691385;134403836,666129;138250124,873627;142238206,52626;146372357,113781;150656914,341752;155096273,291294;159694880,761467;164457228,755604;169387847,074006;174491294,977354;179772151,888083;185235007,100695;190884448,476496;196725050,103608;202761358,909164;208997880,217467;215439062,255445;222089279,61514;228952815,692013;236033844,127718;243336409,296639;250864405,886751;258621557,63749;266611395,30998;274837233,978297;283302149,744286;292008955,99268;300960179,317791;310158035,2677;319604404,066421;329300806,488888;339248380,07739;349447855,901212;359899536,07332;370603272,248741;381558445,338547;392763946,680717;404218160,914399;415918950,80685;427863644,282383;440049023,899708;452471319,017866;465126200,881329;478008780,841626;491113611,91586;504434693,861751;517965481,924204;531698899,38007;545627353,975768;559742758,316953;574036554,23082;588499741,080158;603122907,964427;617896269,697409;632809706,403932;647852806,530495;663014913,016966;678285172,3297;693652586,011191;709106064,358547;724634481,803521;740226733,531251;755871792,844243;771558768,752917;787276963,255227;803015927,755753;818765518,069925;834515947,461947;850257837,175782;865982263,937356;881680803,932814;897345572,802039;912969261,228285
"sValueOfBacklog1";12738000;12738000;12868695,4349888;13101339,6402994;13416618,1773057;13800887,1992905;14243996,888892;14738091,5430887;15276991,1490324;15855890,1061451;16471203,8639412;17120344,7023368;17798717,1803004;18505339,984593;19241287,0227885;20008244,6292985;20807661,9394564;21640312,7122147;22506137,1336981;23404270,0890661;24333804,2331233;25293283,8573788;26280759,3875879;27294137,9972278;28331613,7572868;29392031,4697989;30475112,5866925;31581531,3091426;32712865,898418;33871465,8894494;35060279,4502045;36282664,1775617;37542211,5742098;38842600,8671941;40187486,9800947;41580421,4240148;43024801,9966822;44523846,1771501;46080582,4026097;47697856,1203132;49378346,2858694;51124588,3810012;52939000,9871047;54823913,8755347;56781596,2262147;58814283,9564099;60924205,3286928;63113604,1232211;65384759,7805768;67740004,0998063;70181734,2761743;72712422,279711;75334620,7835026;78050966,0220361;80864178,0767792;83777059,1430883;86792490,3349968;89913427,5403387;93142896,7657706;96483989,3221159;99939857,1053729;103513708,136274;107208802,437935;111028448,26102;114975998,610831;119054847,990839;123268429,251106;127620210,415939;132113691,360559;136752400,209619;141539889,338763;146479730,872616;151575511,586873;156830827,137513;162249275,555372;167834449,95881;173589930,45015;179519275,172825;185626010,515276;191913620,454803;198385535,039699;205045118,011454;211895653,570821;218940332,292548;226182236,193856;233624322,961794;241269409,344659;249120153,713105;257179037,797625;265448347,610898;273930153,566297;282626289,807633;291538332,770066;300667578,998007;310015022,25278;319581329,95071;329366818,981093;339371430,96315;349594707,011414;360035762,090014;370693259,047892;381565382,439006;392649812,243997;403943697,622474;415443630,837942;427145621,51036;439045071,364231;451136749,652919;463414769,452393;475872565,029703;488502870,503;501297700,020741;514248329,697549;527345281,552991;540578309,706918;553936389,090922;567407706,939502;580979657,326627;594638839,013124;608371056,867615;622161327,11819;635993886,683568;649852206,820731;663719011,310957;677576299,387458;691405373,585409;705186872,668903;718900809,759217;732526615,754741;746043188,095006;759428944,879628;772661884,307773;785719649,35526;798579597,554929;811218875,691851;823614499,168865;835743435,740296;847582693,25324;859109410,977236;870300954,045241;881135010,472429;891589690,165414;901643625,283937;911276071,270814;920467007,825043;929197239,05827;937448492,047324;945203512,975996;952446160,048539;959161492,356046;965335853,885574;970956951,880915;976013928,79357;980497427,102741;984399646,333918;987714391,666506;990437113,591404;992564938,158692;994096687,44274;995032889,945876;995375780,76106
"sValueOfBacklog2";12738000;12738000;12868695,4349888;13101339,6402994;13416618,1773057;13800887,1992905;14243996,888892;14738091,5430887;15276991,1490324;15855890,1061451;16471203,8639412;17120344,7023368;17798717,1803004;18505339,984593;19241287,0227885;20008244,6292985;20807661,9394564;21640312,7122147;22506137,1336981;23404270,0890661;24333804,2331233;25293283,8573788;26280759,3875879;27294137,9972278;28331613,7572868;29392031,4697989;30475112,5866925;31581531,3091426;32712865,898418;33871465,8894494;35060279,4502045;36282664,1775617;37542211,5742098;38842600,8671941;40187486,9800947;41580421,4240148;43024801,9966822;44523846,1771501;46080582,4026097;47697856,1203132;49378346,2858694;51124588,3810012;52939000,9871047;54823913,8755347;56781596,2262147;58814283,9564099;60924205,3286928;63113604,1232211;65384759,7805768;67740004,0998063;70181734,2761743;72712422,279711;75334620,7835026;78050966,0220361;80864178,0767792;83777059,1430883;86792490,3349968;89913427,5403387;93142896,7657706;96483989,3221159;99939857,1053729;103513708,136274;107208802,437935;111028448,26102;114975998,610831;119054847,990839;123268429,251106;127620210,415939;132113691,360559;136752400,209619;141539889,338763;146479730,872616;151575511,586873;156830827,137513;162249275,555372;167834449,95881;173589930,45015;179519275,172825;185626010,515276;191913620,454803;198385535,039699;205045118,011454;211895653,570821;218940332,292548;226182236,193856;233624322,961794;241269409,344659;249120153,713105;257179037,797625;265448347,610898;273930153,566297;282626289,807633;291538332,770066;300667578,998007;310015022,25278;319581329,95071;329366818,981093;339371430,96315;349594707,011414;360035762,090014;370693259,047892;381565382,439006;392649812,243997;403943697,622474;415443630,837942;427145621,51036;439045071,364231;451136749,652919;463414769,452393;475872565,029703;488502870,503;501297700,020741;514248329,697549;527345281,552991;540578309,706918;553936389,090922;567407706,939502;580979657,326627;594638839,013124;608371056,867615;622161327,11819;635993886,683568;649852206,820731;663719011,310957;677576299,387458;691405373,585409;705186872,668903;718900809,759217;732526615,754741;746043188,095006;759428944,879628;772661884,307773;785719649,35526;798579597,554929;811218875,691851;823614499,168865;835743435,740296;847582693,25324;859109410,977236;870300954,045241;881135010,472429;891589690,165414;901643625,283937;911276071,270814;920467007,825043;929197239,05827;937448492,047324;945203512,975996;952446160,048539;959161492,356046;965335853,885574;970956951,880915;976013928,79357;980497427,102741;984399646,333918;987714391,666506;990437113,591404;992564938,158692;994096687,44274;995032889,945876;995375780,76106
"sBacklog1";12738;12738;12868,6954349887;13101,480938836;13414,8277061665;13792,7709599385;14223,6507447557;14699,0857600794;15213,1513880111;15761,733729728;16342,0329730954;16952,2179856681;17591,8125127734;18260,2285026308;18956,9306679454;19681,6265804278;20434,3647249901;21215,5701313901;22026,0385434125;22866,9034863191;23739,4477542547;24645,2005793025;25585,9184212832;26563,5027394681;27579,8998644612;28637,0143310268;29736,6517311046;30880,4943712532;32070,1048515137;33306,9490525192;34592,4290500723;35927,9209251181;37314,8108830315;38754,5261951925;40248,5597929234;41798,4886382631;43405,9866133705;45072,8328882882;46800,9168846213;48592,2403822726;50448,9175821548;52373,1738671472;54367,3438157395;56433,8688418618;58575,2947093217;60794,2691018836;63093,5394004406;65475,9508036902;67944,4449120731;70502,0588649831;73151,9250853638;75897,2716444326;78741,4232174973;81687,8025655468;84739,9324505334;87901,4378766162;91176,0485444205;94567,6014094385;98080,0432457296;101717,433129751;105483,944774525;109383,868659722;113421,613917355;117601,70994467;121928,807725115;126407,680844802;131043,22619585;135840,464359713;140804,539663364;145940,719899534;151254,395699269;156751,079541382;162436,404378991;168316,12185875;174396,100103508;180682,321024407;187180,87712381;193897,96774611;200839,894729488;208013,057408095;215423,946910942;223079,139700972;230985,290295449;239149,12310668;247577,423340455;256277,026888126;265254,809147147;274517,672704013;284072,533812981;293926,307603603;304085,89195015;314558,149936369;325349,89084978;336467,849641042;347918,664785714;359708,854488269;371844,791171456;384332,6741982;397178,500778307;410388,035018335;423966,775080309;437919,918423495;452252,325113437;466968,479193849;482072,448130006;497567,840346918;513457,760902016;529744,765350274;546430,811879793;563517,211817822;581004,578631046;598892,77556973;617180,862132848;635867,039560679;654948,595592311;674421,848757927;694282,092509502;714523,539528276;735139,266582858;756121,16034764;777459,864627008;799144,729466047;821163,762662621;843503,584228178;866149,384374793;889084,885633042;912292,309728609;935752,349864208;959444,149066688;983345,285266155;1007431,76377384;1031678,01781739;1056056,9177754;1080539,7897268;1105096,44389423;1129695,21351344;1154303,00460252;1178885,35703524;1203406,51724141;1227829,52276516;1252116,29880803;1276227,76677019;1300123,96467948;1323764,17926577;1347107,08929906;1370110,91966534;1392733,60550551;1414932,96559363;1436666,88398166;1457893,49879287;1478571,39690696;1498659,81314967;1518118,83248115;1536909,59357293;1554994,49207629;1572337,38181657;1588903,77210163;1604661,0193096;1619578,51092279;1633627,84020204;1646782,96974992
"sBacklog2";12738;12738;12868,6954349887;13101,480938836;13414,8277061665;13792,7709599385;14223,6507447557;14699,0857600794;15213,1513880111;15761,733729728;16342,0329730954;16952,2179856681;17591,8125127734;18260,2285026308;18956,9306679454;19681,6265804278;20434,3647249901;21215,5701313901;22026,0385434125;22866,9034863191;23739,4477542547;24645,2005793025;25585,9184212832;26563,5027394681;27579,8998644612;28637,0143310268;29736,6517311046;30880,4943712532;32070,1048515137;33306,9490525192;34592,4290500723;35927,9209251181;37314,8108830315;38754,5261951925;40248,5597929234;41798,4886382631;43405,9866133705;45072,8328882882;46800,9168846213;48592,2403822726;50448,9175821548;52373,1738671472;54367,3438157395;56433,8688418618;58575,2947093217;60794,2691018836;63093,5394004406;65475,9508036902;67944,4449120731;70502,0588649831;73151,9250853638;75897,2716444326;78741,4232174973;81687,8025655468;84739,9324505334;87901,4378766162;91176,0485444205;94567,6014094385;98080,0432457296;101717,433129751;105483,944774525;109383,868659722;113421,613917355;117601,70994467;121928,807725115;126407,680844802;131043,22619585;135840,464359713;140804,539663364;145940,719899534;151254,395699269;156751,079541382;162436,404378991;168316,12185875;174396,100103508;180682,321024407;187180,87712381;193897,96774611;200839,894729488;208013,057408095;215423,946910942;223079,139700972;230985,290295449;239149,12310668;247577,423340455;256277,026888126;265254,809147147;274517,672704013;284072,533812981;293926,307603603;304085,89195015;314558,149936369;325349,89084978;336467,849641042;347918,664785714;359708,854488269;371844,791171456;384332,6741982;397178,500778307;410388,035018335;423966,775080309;437919,918423495;452252,325113437;466968,479193849;482072,448130006;497567,840346918;513457,760902016;529744,765350274;546430,811879793;563517,211817822;581004,578631046;598892,77556973;617180,862132848;635867,039560679;654948,595592311;674421,848757927;694282,092509502;714523,539528276;735139,266582858;756121,16034764;777459,864627008;799144,729466047;821163,762662621;843503,584228178;866149,384374793;889084,885633042;912292,309728609;935752,349864208;959444,149066688;983345,285266155;1007431,76377384;1031678,01781739;1056056,9177754;1080539,7897268;1105096,44389423;1129695,21351344;1154303,00460252;1178885,35703524;1203406,51724141;1227829,52276516;1252116,29880803;1276227,76677019;1300123,96467948;1323764,17926577;1347107,08929906;1370110,91966534;1392733,60550551;1414932,96559363;1436666,88398166;1457893,49879287;1478571,39690696;1498659,81314967;1518118,83248115;1536909,59357293;1554994,49207629;1572337,38181657;1588903,77210163;1604661,0193096;1619578,51092279;1633627,84020204;1646782,96974992
"sInstalledBase1";30000;32997;35975,26875;38967,5971790597;41999,4199313996;45090,6304833699;48257,0067828335;51511,3131766297;54864,1389092956;58324,5258881153;61900,4310337466;65599,0615830595;69427,1219445824;73391,1555606222;77497,517964026;81752,3911437372;86161,8453441957;90731,924992042;95468,7429936893;100378,572985832;105467,93277625;110743,620134962;116212,772653944;121882,922430178;127762,029849856;133858,49212941;140181,130136358;146739,161005782;153542,164842309;160600,052524923;167923,039459772;175521,627725667;183406,597783661;191589,009268271;200080,209509142;208891,848147941;218035,896256582;227524,668558321;237370,847601904;247587,509025547;258188,147189706;269186,700665309;280597,577252937;292435,678349041;304716,422569825;317455,768606094;330670,237327777;344376,933194589;358593,565063045;373338,466509419;388630,615809981;404489,65573251;420935,91329529;437990,419641568;455674,930160195;474011,944959327;493024,729772486;512737,337347513;533174,62934145;554362,298719499;576326,89263494;599095,835749603;622697,453941098;647160,998333305;672516,669579889;698795,642326294;726030,089772955;754253,208260836;783499,241799134;813803,506453731;845202,414513278;877733,498347388;911435,433868062;946348,063501134;982512,41856894;1019970,74097876;1058766,50410375;1098944,43273405;1140550,52196599;1183632,05488607;1228237,61889506;1274417,1205047;1322221,79842679;1371704,23476048;1422918,3640699;1475919,48012958;1530764,2401008;1587510,66588696;1646218,14240117;1706947,4124644;1769760,5680374;1834721,03747471;1901893,56847458;1971344,20638406;2043140,26750442;2117350,30702895;2194044,08123208;2273292,50351725;2355167,59391981;2439742,42165239;2527091,04027165;2617288,41504003;2710410,3420519;2806533,35869244;2905734,64499907;3008091,91550033;3113683,30111518;3222587,22070871;3334882,24191685;3450646,93087482;3569959,69051131;3692898,58710337;3819541,16482641;3949964,24807946;4084243,73141913;4222454,35699584;4364669,4794541;4510960,81833488;4661398,19810236;4816049,27600993;4974979,25812178;5138250,60391527;5305922,72000732;5478051,64367292;5654689,71695701;5835885,25231973;6021682,19090099;6212119,75464001;6407232,09363957;6607047,93032099;6811590,20207302;7020875,70425353;7234914,73555629;7453710,74790291;7677260,00316022;7905551,23911403;8138565,34724792;8376275,06497825;8618644,68508095;8865629,78510955;9117176,9796439;9373223,69822314;9633697,99180179;9898518,3705229;10167593,6755236;10440822,9873763;10718095,5736215;10999290,8776628;11284278,5510758;11572918,531127;11865061,1650057;12160547,3819511;12459208,9141013;12760868,5665085;13065340,5363611;13372430,7810279;13681937,4341006;13993651,2681629;14307356,2025643;14622829,8540289;14939844,1274917
"sInstalledBase2";30000;32997;35975,26875;38967,5971790597;41999,4199313996;45090,6304833699;48257,0067828335;51511,3131766297;54864,1389092956;58324,5258881153;61900,4310337466;65599,0615830595;69427,1219445824;73391,1555606222;77497,517964026;81752,3911437372;86161,8453441957;90731,924992042;95468,7429936893;100378,572985832;105467,93277625;110743,620134962;116212,772653944;121882,922430178;127762,029849856;133858,49212941;140181,130136358;146739,161005782;153542,164842309;160600,052524923;167923,039459772;175521,627725667;183406,597783661;191589,009268271;200080,209509142;208891,848147941;218035,896256582;227524,668558321;237370,847601904;247587,509025547;258188,147189706;269186,700665309;280597,577252937;292435,678349041;304716,422569825;317455,768606094;330670,237327777;344376,933194589;358593,565063045;373338,466509419;388630,615809981;404489,65573251;420935,91329529;437990,419641568;455674,930160195;474011,944959327;493024,729772486;512737,337347513;533174,62934145;554362,298719499;576326,89263494;599095,835749603;622697,453941098;647160,998333305;672516,669579889;698795,642326294;726030,089772955;754253,208260836;783499,241799134;813803,506453731;845202,414513278;877733,498347388;911435,433868062;946348,063501134;982512,41856894;1019970,74097876;1058766,50410375;1098944,43273405;1140550,52196599;1183632,05488607;1228237,61889506;1274417,1205047;1322221,79842679;1371704,23476048;1422918,3640699;1475919,48012958;1530764,2401008;1587510,66588696;1646218,14240117;1706947,4124644;1769760,5680374;1834721,03747471;1901893,56847458;1971344,20638406;2043140,26750442;2117350,30702895;2194044,08123208;2273292,50351725;2355167,59391981;2439742,42165239;2527091,04027165;2617288,41504003;2710410,3420519;2806533,35869244;2905734,64499907;3008091,91550033;3113683,30111518;3222587,22070871;3334882,24191685;3450646,93087482;3569959,69051131;3692898,58710337;3819541,16482641;3949964,24807946;4084243,73141913;4222454,35699584;4364669,4794541;4510960,81833488;4661398,19810236;4816049,27600993;4974979,25812178;5138250,60391527;5305922,72000732;5478051,64367292;5654689,71695701;5835885,25231973;6021682,19090099;6212119,75464001;6407232,09363957;6607047,93032099;6811590,20207302;7020875,70425353;7234914,73555629;7453710,74790291;7677260,00316022;7905551,23911403;8138565,34724792;8376275,06497825;8618644,68508095;8865629,78510955;9117176,9796439;9373223,69822314;9633697,99180179;9898518,3705229;10167593,6755236;10440822,9873763;10718095,5736215;10999290,8776628;11284278,5510758;11572918,531127;11865061,1650057;12160547,3819511;12459208,9141013;12760868,5665085;13065340,5363611;13372430,7810279;13681937,4341006;13993651,2681629;14307356,2025643;14622829,8540289;14939844,1274917
"sPrice1";1000;1000;999,959043420027;1000,52844652854;1001,81511815695;1003,67586956189;1005,89038124846;1008,25656935404;1010,6337169181;1012,95223865955;1015,1731692537;1016,567331851;1017,75097297917;1019,10439794233;1020,7452899667;1022,62125903201;1024,57974020334;1026,42003900714;1027,93165234427;1029,036831509;1029,57569252418;1029,39706828893;1028,41100039334;1026,60705117408;1024,04798396343;1020,85001507668;1017,15915138398;1013,12983558521;1008,90887743463;1004,62565204559;1000,38617860065;996,271845683364;992,340950534244;988,631617314469;985,165209775353;981,94973562748;978,98298120369;976,255193137238;973,75147191494;971,453723737772;969,34217638801;967,396526474833;965,596792311971;963,923931342165;962,360263076587;960,889726530642;959,497996320482;958,172481379371;956,902232877456;955,677787849424;954,490974250614;953,334700621776;952,202749337195;951,08958730753;949,990202846866;948,8999728602;947,814560733234;946,729842760148;945,64185933848;944,546786327596;943,44092175871;942,320683338523;941,18261274291;940,023383407002;938,839809269805;937,628852647303;936,387630040801;935,113415216864;933,80363931639;932,455888068006;931,067896405748;929,637540935465;928,162830771949;926,641897292318;925,072983332916;923,454432308487;921,784677663756;920,062232988196;918,285683042198;916,453675863201;914,564916048009;912,618159245325;910,612207842046;908,545907788356;906,418146479627;904,227851596375;901,973990795403;899,65557214412;897,271645193977;894,82130259647;892,3036821747;889,717969373932;887,063400025004;884,339263364118;881,544905261129;878,679731615575;875,743211885437;872,734882717824;869,654351653768;866,501300881087;863,275491010164;859,976764847645;856,605051142705;853,160368279861;849,642827891495;846,052638362426;842,390108198125;838,655649227661;834,849779612126;830,973126629326;827,026429205781;823,010540167726;818,926428183705;814,775179372599;810,557998552428;806,27621010708;801,931258450126;797,524708067192;793,058243120787;788,533666604197;783,952899033857;779,317976672605;774,631049279291;769,894377383436;765,110329086859;760,28137639751;755,410091104046;750,499140202994;745,551280893565;740,569355158387;735,55628395145;730,515061017483;725,448746369725;720,360459455591;715,25337204204;710,13070085452;704,995700005124;699,851653247105;694,701866094055;689,549657842907;684,398353540456;679,251275933279;674,111737440806;668,983032190821;663,868428155907;658,77115942825;653,694418668862;648,641349765634;643,615040732741;638,618516881819;633,65473429303;628,726573611634;623,836834193096;618,988228617005;614,18337758728;609,424805233264;604,714934823404;600,05608490034;595,450465843333;590,900176861159;586,406621858652
