"";"62";"Parâmetro"
"Scenario";62;"Scenario"
"aUnitsPerHousehold";1;"aUnitsPerHousehold"
"aDiscountRate";0,04;"aDiscountRate"
"aNormalDeliveryDelay";0,25;"aNormalDeliveryDelay"
"aSwitchForCapacity";1;"aSwitchForCapacity"
"aFractionalDiscardRate";0,170156988492934;"aFractionalDiscardRate"
"aInitialDiffusionFraction";0,05;"aInitialDiffusionFraction"
"aReferencePrice";107000;"aReferencePrice"
"aReferenceIndustryDemandElasticity";0,899596602228703;"aReferenceIndustryDemandElasticity"
"aReferencePopulation";91803,4089524881;"aReferencePopulation"
"aInnovatorAdoptionFraction";0,00932736826756387;"aInnovatorAdoptionFraction"
"aWOMStrength";0,410635047368007;"aWOMStrength"
"aPopulation";1e+05;"aPopulation"
"aSwitchForShipmentsInForecast";0;"aSwitchForShipmentsInForecast"
"aVolumeReportingDelay";0,0824468606568553;"aVolumeReportingDelay"
"aForecastHorizon";1;"aForecastHorizon"
"aCapacityAcquisitionDelay";0,506463971996563;"aCapacityAcquisitionDelay"
"aTimeForHistoricalVolume";1;"aTimeForHistoricalVolume"
"aReferenceDeliveryDelay";0,25;"aReferenceDeliveryDelay"
"aSensOfAttractToAvailability";-3,15277356395498;"aSensOfAttractToAvailability"
"aSensOfAttractToPrice";-8,16545611329377;"aSensOfAttractToPrice"
"aLCStrength";0,760701236177236;"aLCStrength"
"aInitialProductionExperience";1e+05;"aInitialProductionExperience"
"aRatioOfFixedToVarCost";0,87993134724283;"aRatioOfFixedToVarCost"
"aNormalProfitMargin";0,2;"aNormalProfitMargin"
"aNormalCapacityUtilization";0,697465583538637;"aNormalCapacityUtilization"
"aMinimumEfficientScale";200;"aMinimumEfficientScale"
"aWeightOnSupplyLine";1;"aWeightOnSupplyLine"
"aTimeToPerceiveCompTargetCapacity";0,25;"aTimeToPerceiveCompTargetCapacity"
"aPriceAdjustmentTime";0,25;"aPriceAdjustmentTime"
"aSensOfPriceToCosts";0,696525435523945;"aSensOfPriceToCosts"
"aSensOfPriceToDSBalance";0,208687570785987;"aSensOfPriceToDSBalance"
"aSensOfPriceToShare";-0,212970158539829;"aSensOfPriceToShare"
"aSwitchForPerfectCapacity";0;"aSwitchForPerfectCapacity"
"aPeDLigado";1;"aPeDLigado"
"aTempoMedioRealizacaoPeD";2,89327200589236;"aTempoMedioRealizacaoPeD"
"aCustoMedioPatente";2763552,98951967;"aCustoMedioPatente"
"aTempoMedioAvaliacao";2,40680011550314;"aTempoMedioAvaliacao"
"aTaxaRejeicao";0,441262298762449;"aTaxaRejeicao"
"aTempoVencimentoPatentes";18;"aTempoVencimentoPatentes"
"aTempodeInutilizacaoPatente";12,6986912144814;"aTempodeInutilizacaoPatente"
"aPerfSlope";0,113026957348359;"aPerfSlope"
"aPerfMin";0;"aPerfMin"
"aPerfMax";10;"aPerfMax"
"aSensOfAttractToPerformance";-5,86037297705188;"aSensOfAttractToPerformance"
"aReferencePerformance";6;"aReferencePerformance"
"aInitialInvestimentoNaoRealizadoPeD";75114000;"aInitialInvestimentoNaoRealizadoPeD"
"aInitialPatentesRequisitadas";33,384;"aInitialPatentesRequisitadas"
"aInitialPatentesEmpresa";112,671;"aInitialPatentesEmpresa"
"aInitialsPatentesEmDominioPublicoUteis";37,557;"aInitialsPatentesEmDominioPublicoUteis"
"aInitialsInvestimentoPeDDepreciar";367224000;"aInitialsInvestimentoPeDDepreciar"
"aInitialReorderShare";0,281790479697404;"aInitialReorderShare"
"aTotalInitialInstalledBaseInutilizado";13000;"aTotalInitialInstalledBaseInutilizado"
"aInitialIndustryShipments";2600;"aInitialIndustryShipments"
"aInitialSharePlayers1";0,28;"aInitialSharePlayers1"
"aInitialSharePlayers2";0,29;"aInitialSharePlayers2"
"aInitialSharePlayers3";0,15;"aInitialSharePlayers3"
"aInitialSharePlayers4";0,28;"aInitialSharePlayers4"
"aPatentShare1";0,28;"aPatentShare1"
"aPatentShare2";0,29;"aPatentShare2"
